check,status,expected,actual,evidence
csv_stale_rows,PASS,4,4,"filter_gate_outputs.csv verdict=STALE_OUTPUT"
expanded_file_count,PASS,6,6,"two pool files two summaries two rejected samples"
deleted_bytes,PASS,4098465,4098465,"actual filesystem bytes matched CSV"
skipped_intersections,PASS,0,0,"ACTIVE_LIVE REGEN_OK ORIGIN analysis and live-148 overlap"
git_tracked_deletions,PASS,0,0,"all six files were ignored or untracked"
remaining_target_files,PASS,0,0,"all six manifest paths absent"
live_dependency_files_exist,PASS,148,148,"live_dependency_tree.csv post-delete existence check"
python_entrypoint_imports,PASS,11,11,"Stage2 Stage3 candidate generation execution API scheduled and live slots"
stage3_dynamic_body,PASS,1,1,"dynamic Stage3 body exists and wrapper exposes main"
shell_guard_syntax,PASS,2,2,"dashboard_guard.sh and live_candidate_slots_guard.sh bash -n"
active_live_code_target_references,PASS,0,0,"current daemon API direct code chain contains no target filename reference"
open_target_file_handles,PASS,0,0,"lsof preflight"
run_live_processes,PASS,0,0,"scripts/run_live.py not running"
stage3_mix_on_processes,PASS,0,0,"no current process consumes stage3_live_pool"
dormant_supported_reference,INFO,1,1,"engine/live/central_control.py retains default stage3_live_pool path for future Stage3 mix"
regenerator_reference,INFO,1,1,"scripts/research/build_stage3_live_pool.py can recreate pool and rejected sample"
