check_id,feature_group,required_data,live_availability,current_candidate_check,not_stored_or_optional,lookahead_risk,status,notes
A-001,path_filter core OHLC,"D-6..D-1 Close and D-5..D-1 High/Low",AVAILABLE,"10/10 current candidates loaded 270 daily rows ending 2026-07-10",false,"LOW if evaluation frame ends at D-1",PASS,"elite_shadow_trader._load_ohlcv loads one year and calc_indicators"
A-002,path_filter signal_age,"Close,MA5,MACD_hist,Aligned_bull trailing up to 20 rows",AVAILABLE,"10/10 had all required columns",false,"LOW if latest row is completed D-1",PASS,
A-003,path_filter dist_high20,"High and Close trailing 20 rows",AVAILABLE,"10/10 had sufficient rows",false,"LOW if frame ends D-1",PASS,
A-004,path_filter core Volume,"not required",AVAILABLE,"Volume present for 10/10",false,NONE,PASS,"Core path5 does not consume Volume"
A-005,range lag OHLCV,"D-25..D-1 OHLCV for lag5 volratio20",AVAILABLE,"10/10 loaded 270 rows",false,"LOW for lag features",PASS,
A-006,range technical indicators,"MA5/20/60/200, RSI, ATR, ATR_pct, BB, Volume_ratio, MACD, Stoch, Trend, Momentum, flags",AVAILABLE,"10/10 had standard indicator columns after calc_indicators",false,"LOW for D-1 completed row",PASS,"BB_upper/middle/lower also generated by calc_indicators"
A-007,D1 candle morphology,"D-2 and D-1 OHLCV",AVAILABLE,"10/10 available",false,LOW,PASS,
A-008,D1 volume ratios,"D-11..D-1 Volume",AVAILABLE,"10/10 available",false,LOW,PASS,
A-009,D1 range_vs_ATR,"D-1 High/Low and ATR",AVAILABLE,"10/10 ATR present",false,LOW,PASS,
A-010,STK_range_pos5,"D-5..D-1 High/Low/Close",AVAILABLE,"10/10 available",false,LOW,PASS,
A-011,STK_gap_d0,"current signal-day Open and D-1 Close",CONDITIONALLY_AVAILABLE,"adapter daily history may expose current-day partial/daily row only after market data update",false,"MEDIUM; not a completed D-1 feature and timing-sensitive",EXCLUDE_FOR_PURE_5D,"Historical predictor treated this as entry-time observable"
A-012,market ETF D0 gap,"17 ETF current-day Open and D-1 Close",CONDITIONALLY_AVAILABLE,"not checked as part of candidate ticker load",true,"MEDIUM; D0 timing and multi-symbol freshness",OPTIONAL,"Requires synchronous ETF histories"
A-013,market ETF D-1 ret5/vol5/vol20,"17 ETF OHLC histories",CONDITIONALLY_AVAILABLE,"adapter can load but no current live feature hook exists",true,LOW_IF_D1,"Not stored in candidate row"
A-014,market/news history features,"data/_system/market_history.csv and market_history_v2.csv numeric D-1 columns",PARTIAL,"file-dependent; not part of standard OHLCV frame",true,"LOW if joined strictly on D-1, but revision/provenance risk",OPTIONAL,
A-015,flow/orderbook fields,"buy/sell unfilled, depth, imbalance, tick volume, execution strength, taker volume",NOT_GUARANTEED,"ordinary daily OHLCV for 10 candidates did not report these in standard column list",true,"HIGH if reconstructed after fact or missing live",NOT_STORED,"Code only adds fields when columns exist"
A-016,quantile normalization spec,"rolling-train feature distributions and frozen q levels/values",NOT_AVAILABLE_FOR_CURRENT_POOL,"no live predictor artifact or qspec loader",true,"HIGH if fitted on current/final data",NOT_STORED,"Must be trained and frozen before live use"
A-017,per-rulebook path genes,"learned path_filter_* values",NOT_AVAILABLE,"path_filter manifest/survivor artifacts not found",true,NONE,NOT_STORED,"Defaults would effectively disable most gates"
A-018,per-predictor dense weights/cuts,"trained individual artifact",PARTIAL_HISTORICAL,"some FIX experiment survivors exist; none for current 10 candidates",true,NONE,NOT_APPLICABLE_CURRENT_POOL,
A-019,current live candidate integration,"feature computation and selector call",NOT_CONNECTED,"candidate rows contain no path_filter/predictor fields",true,NONE,NOT_ACTIVE,"Availability of raw data does not imply active use"
A-020,completed-bar boundary,"evaluation dataframe latest row",TIMING_DEPENDENT,"current Sunday snapshot ended 2026-07-10 completed daily bar",false,"HIGH during market day if adapter includes incomplete D0 daily candle",REQUIRES_GUARD,"Production implementation must explicitly slice through previous completed session"
