sequence,timestamp_utc,timestamp_et,price_or_level,return_from_signal_pct,source,observation,original_source_path,original_source_mtime_utc,original_source_sha256,recovery_verdict
1,2026-07-09T17:20:33.590054+00:00,2026-07-09T13:20:33.590054-04:00,600.8599853515625,0.0,data/_system/live_slots_state.json::first_seen_signals,"stored first signal; provider recovered by code path as yfinance 1m prepost",data/_system/analysis/crs_underperformance_20260711/post_signal_path.csv,2026-07-11T18:03:59.003631+00:00,a0c8a4dd3f5fca97db9d677668708e1351197058567067410ffe63f97e74c16d,PARTIALLY_RECOVERED
2,2026-07-09T17:21:00+00:00,2026-07-09T13:21:00-04:00,600.85,-0.0016618433255510823,Alpaca IEX 1-minute bar,"nearest observed Alpaca print after signal",data/_system/analysis/crs_underperformance_20260711/post_signal_path.csv,2026-07-11T18:03:59.003631+00:00,a0c8a4dd3f5fca97db9d677668708e1351197058567067410ffe63f97e74c16d,PARTIALLY_RECOVERED
3,2026-07-09T18:11:00+00:00,2026-07-09T14:11:00-04:00,601.61,0.12482353072633678,Alpaca IEX 1-minute bar,"session high occurred about 50 minutes after signal",data/_system/analysis/crs_underperformance_20260711/post_signal_path.csv,2026-07-11T18:03:59.003631+00:00,a0c8a4dd3f5fca97db9d677668708e1351197058567067410ffe63f97e74c16d,PARTIALLY_RECOVERED
4,2026-07-09T19:40:00+00:00,2026-07-09T15:40:00-04:00,594.72,-1.0218662419282265,Alpaca IEX 1-minute bar,"first observed low at or below -1%; sparse IEX prints mean exact crossing may be earlier",data/_system/analysis/crs_underperformance_20260711/post_signal_path.csv,2026-07-11T18:03:59.003631+00:00,a0c8a4dd3f5fca97db9d677668708e1351197058567067410ffe63f97e74c16d,PARTIALLY_RECOVERED
5,2026-07-09T19:56:00+00:00,2026-07-09T15:56:00-04:00,588.545,-2.0495599060997627,Alpaca IEX 1-minute bar,"first observed low at or below -2%; deterioration concentrated near close",data/_system/analysis/crs_underperformance_20260711/post_signal_path.csv,2026-07-11T18:03:59.003631+00:00,a0c8a4dd3f5fca97db9d677668708e1351197058567067410ffe63f97e74c16d,PARTIALLY_RECOVERED
6,2026-07-09T19:59:00+00:00,2026-07-09T15:59:00-04:00,590.515,-1.7216965023073794,Alpaca IEX 1-minute bar,"last observed regular-session close print on signal day",data/_system/analysis/crs_underperformance_20260711/post_signal_path.csv,2026-07-11T18:03:59.003631+00:00,a0c8a4dd3f5fca97db9d677668708e1351197058567067410ffe63f97e74c16d,PARTIALLY_RECOVERED
7,2026-07-10T13:38:00+00:00,2026-07-10T09:38:00-04:00,574.16,-4.443628466279115,Alpaca IEX 1-minute bar,"first observed next-session print; clear overnight gap down",data/_system/analysis/crs_underperformance_20260711/post_signal_path.csv,2026-07-11T18:03:59.003631+00:00,a0c8a4dd3f5fca97db9d677668708e1351197058567067410ffe63f97e74c16d,PARTIALLY_RECOVERED
8,2026-07-10T13:40:00+00:00,2026-07-10T09:40:00-04:00,569.315,-5.249972725859841,Alpaca IEX 1-minute bar,"next-session low two minutes after first observed print",data/_system/analysis/crs_underperformance_20260711/post_signal_path.csv,2026-07-11T18:03:59.003631+00:00,a0c8a4dd3f5fca97db9d677668708e1351197058567067410ffe63f97e74c16d,PARTIALLY_RECOVERED
9,2026-07-10T18:17:00+00:00,2026-07-10T14:17:00-04:00,585.95,-2.4814408872374183,Alpaca IEX 1-minute bar,"partial intraday recovery did not regain signal price",data/_system/analysis/crs_underperformance_20260711/post_signal_path.csv,2026-07-11T18:03:59.003631+00:00,a0c8a4dd3f5fca97db9d677668708e1351197058567067410ffe63f97e74c16d,PARTIALLY_RECOVERED
10,2026-07-10T19:59:38.272913+00:00,2026-07-10T15:59:38.272913-04:00,579.14,-3.6148164099917834,Alpaca StockLatestTradeRequest,"latest available trade at investigation time; exchange code V",data/_system/analysis/crs_underperformance_20260711/post_signal_path.csv,2026-07-11T18:03:59.003631+00:00,a0c8a4dd3f5fca97db9d677668708e1351197058567067410ffe63f97e74c16d,PARTIALLY_RECOVERED
