id,conversion_or_gate,file,lines,current_mechanism,primary_callers,modes,operational_status,current_direct_event_state,use_llm_events_consulted,market_score_source,recommended_switch_application
A1,active_events_to_flags,engine/live/central_control.py,582-610,"ctx.active_events exact-key dict -> evaluate_signal",LiveCentralController._evaluate_stage3_entity_signal,"paper central intraday",LATENT_NOT_WIRED_BY_CURRENT_RUN_LIVE,ON_IF_CALLED,false,ctx.score,event_flags helper replacement
A2,active_events_to_flags,engine/strategies/learned_rulebook.py,281-307,"ctx.active_events exact-key dict -> evaluate_signal","Runner._process_ticker; add-buy reevaluation; reconfirm; Telegram probability","real;live;vts;paper;alpaca_paper;legacy runner",ACTIVE_SIGNAL_PATH,ON,false,ctx.score,event_flags helper replacement
A3,active_events_to_flags,engine/live/elite_shadow_trader.py,375-430,"_event_flags(ctx) -> evaluate_signal","live_candidate_slots; dashboard exporter; elite shadow; strategy sim; S2 auto","real dashboard; operational no-broker; virtual; possible real auto",ACTIVE_SHARED_EVALUATOR,ON,false,ctx.score,_event_flags delegates to shared helper
G1,direct_event_gate,engine/strategies/evaluator.py,176-195,"event_flags truthy AND rb.use_event_block -> coefficient sum * multiplier",all evaluate_signal callers,all,ACTIVE,ON_PER_RULEBOOK,not_applicable,caller supplied,do not hard-off globally
O1,explicit_event_off,engine/live/scheduled_open_buy_queue.py,397-417,"_lookup_signal_context(... use_llm_events=False)",NextOpenBuyCoordinator,"paper/alpaca_paper next-open",ACTIVE_CURRENT_BUY_PATH,OFF,true,D-1 market_history.score,no change
O2,default_event_off,engine/central/signal_collector.py,205-240,"SignalCollector(use_llm_events=False) passes helper result",central simulation/backtest,virtual backtest,ACTIVE_RESEARCH,OFF_BY_DEFAULT,true,lagged market_history.score,no live switch needed
H1,historical_flag_builder,scripts/build_market_history_v2.py,138-149,"active_events -> historical has_* columns",history builder,research data,NON_LIVE,NOT_APPLICABLE,not_applicable,historical,no change
H2,historical_flag_builder,scripts/news_downloader/run_append_market_history_v2.py,286-297,"active_events -> historical has_* columns",history append,research data,NON_LIVE,NOT_APPLICABLE,not_applicable,historical,no change
H3,historical_flag_builder,scripts/news_downloader/dry_run_append_market_history_v2.py,194-205,"active_events -> historical has_* columns",dry-run history append,research data,NON_LIVE,NOT_APPLICABLE,not_applicable,historical,no change
H4,research_helper,scripts/research/_exp_event_decay_context.py,217-229,"active_events -> experiment flags",event decay experiments,research,NON_LIVE,NOT_APPLICABLE,not_applicable,experiment,no change
