field,status,source_storage,candidate_snapshot_storage,latest_10_candidate_coverage,post_2026_07_09_loss,daemon_pid_494330_read_path,daemon_direct_read,updated_at_utc,evidence,notes
sentiment_avg,PARTIAL,STORED,NOT_STORED,"10/10 원천 CSV 존재; 최신일 ADMA 07-11 CRS 07-08 ALGT 07-11 AEIS 07-10 ARKW 07-07 CBRL 07-10 BTU 07-10 BB 07-10 BN 07-10 ACMR 07-09",YES,"engine/strategies/learned_rulebook.py:196-232에서 읽고 evaluate_signal에 전달; data/_system/ops/live_candidate_slots.py:269-312는 결과 score/raw_score/reasons만 저장",NO,2026-07-12T10:15:11Z~10:15:50Z,"ticker_sentiment CSV mtime + learned_rulebook.py:203-232 + live_candidate_slots.py:281-301","원천은 저장되지만 후보 스냅샷에서 단일 필드 보존·보장 안 됨; CRS/ARKW는 07-09 이후 값 없음"
sent_earnings,PARTIAL,STORED,NOT_STORED,"10/10 CSV 컬럼 존재; 값 0은 결측/중립 구분 불가",YES,"engine/strategies/news_features.py에서 토픽 z-score로 변환 후 evaluator.py:144-171에서 topic_news 합산; daemon은 원 필드 미수신",NO,2026-07-12T10:15:11Z~10:15:50Z,"ticker_sentiment header + evaluator.py:144-171 + live_candidate_slots.py:269-312","원천 컬럼은 있으나 예외 판정 시점에 원값 미보존; 토픽 합산으로만 영향"
ticker_sentiment_score,NOT_STORED,NOT_STORED,NOT_STORED,"기사 캐시 내부 원천값일 뿐 후보 스냅샷 필드 0/10",YES,"daemon 경로 없음",NO,UNRECOVERABLE,"engine/market/ticker_sentiment.py:39-64","기사별 값이라 후보 단일 필드로 직접 사용 불가"
news_sentiment_avg,PARTIAL,STORED,NOT_STORED,"market_state 구조에는 존재하나 현재 생성값 0.0",YES,"daemon 경로 없음",NO,2026-07-12,"engine/market/context.py:615-627","형식적 저장만 있고 실질 신호 없음"
event_adjustment,PARTIAL,STORED,NOT_STORED,"market_state/market_history에는 저장 가능; 후보별 10개 스냅샷에는 없음",NO,"daemon 직접 읽기 없음; evaluator 상류에서 Event flags가 합산될 수 있으나 Event 정책 OFF 배경",NO,2026-07-12,"engine/market/context.py:581-627; evaluator.py:178-195; live_candidate_slots.py:269-312","복수 이벤트 합산·감쇠 필드이며 예외 부적격"
score_with_events,PARTIAL,STORED,NOT_STORED,"market_history 파생 컬럼; 후보별 스냅샷 없음",NO,"daemon 직접 읽기 없음",NO,2026-07-12,"engine/market/context.py:753-774","합산 결과"
topic_news,NOT_STORED,NOT_STORED,NOT_STORED,"계산 중 components에만 존재; 10개 후보 원 필드 스냅샷 없음",YES,"daemon은 reasons/raw_score/final_score만 수신",NO,UNRECOVERABLE,"engine/strategies/evaluator.py:144-171; live_candidate_slots.py:281-301","복수 토픽 합산 결과"
final_score,STORED,STORED,STORED,"후보 스냅샷에 final_score 저장",NO,"data/_system/ops/live_candidate_slots.py:281,316,430,436",YES,2026-07-12,"live_candidate_slots.py:269-316","저장·정렬 보장은 되지만 5번 합산 금지 대상이라 예외 부적격"
flow,NOT_STORED,NOT_STORED,NOT_STORED,"0/10",YES,"경로 없음",NO,NOT_STORED,"코드/설정 검색","적격 필드 없음"
order_book,NOT_STORED,NOT_STORED,NOT_STORED,"0/10",YES,"경로 없음",NO,NOT_STORED,"코드/설정 검색","적격 필드 없음"
catalyst_surprise_guidance_upgrade,NOT_STORED,NOT_STORED,NOT_STORED,"0/10 단일 점수",YES,"경로 없음",NO,NOT_STORED,"코드/설정 검색","텍스트 키워드 또는 이벤트 분류만 존재"
