scenario,gap_allowance_pp,gate_mode,min_pass_policy,survivor_count,survivors,robust_both_regime_count,opposite_regime_failure_count,oos_pooled_passed,oos_pooled_precision,interpretation
DOUBLE_GAP_20PP,20,DOUBLE,FIXED_ORIGINAL,1,AEVA,1,0,17,0.882353,"baseline strict gate"
DOUBLE_GAP_25PP,25,DOUBLE,FIXED_ORIGINAL,1,AEVA,1,0,17,0.882353,"gap relaxation adds nobody"
DOUBLE_GAP_30PP,30,DOUBLE,FIXED_ORIGINAL,1,AEVA,1,0,17,0.882353,"gap relaxation adds nobody"
DOUBLE_GAP_35PP,35,DOUBLE,FIXED_ORIGINAL,1,AEVA,1,0,17,0.882353,"gap relaxation adds nobody"
DOUBLE_GAP_40PP,40,DOUBLE,FIXED_ORIGINAL,1,AEVA,1,0,17,0.882353,"even extreme gap relaxation adds nobody"
STRESS_ONLY_GAP_20PP,20,STRESS_ONLY,FIXED_ORIGINAL,3,"AEVA;BELFB;DDOG",1,2,30,0.8,"BELFB and DDOG expand count but fail original OOS robustness; false expansion"
STRESS_ONLY_GAP_25PP,25,STRESS_ONLY,FIXED_ORIGINAL,3,"AEVA;BELFB;DDOG",1,2,30,0.8,"same as 20pp"
STRESS_ONLY_GAP_30PP,30,STRESS_ONLY,FIXED_ORIGINAL,3,"AEVA;BELFB;DDOG",1,2,30,0.8,"same as 20pp"
STRESS_ONLY_GAP_35PP,35,STRESS_ONLY,FIXED_ORIGINAL,3,"AEVA;BELFB;DDOG",1,2,30,0.8,"same as 20pp"
STRESS_ONLY_GAP_40PP,40,STRESS_ONLY,FIXED_ORIGINAL,4,"AEVA;BELFB;CIEN;DDOG",1,3,32,0.8125,"CIEN added only by very loose gap; opposite-regime sample still fails"
OOS_ONLY_GAP_20PP,20,OOS_ONLY,FIXED_ORIGINAL,5,"ALGT;FIX;AEVA;BE;DB",1,4,46,0.804348,"four additions pass OOS but fail stress; not robust cross-regime"
OOS_ONLY_GAP_25PP,25,OOS_ONLY,FIXED_ORIGINAL,5,"ALGT;FIX;AEVA;BE;DB",1,4,46,0.804348,"same as 20pp"
OOS_ONLY_GAP_30PP,30,OOS_ONLY,FIXED_ORIGINAL,5,"ALGT;FIX;AEVA;BE;DB",1,4,46,0.804348,"same as 20pp"
OOS_ONLY_GAP_35PP,35,OOS_ONLY,FIXED_ORIGINAL,5,"ALGT;FIX;AEVA;BE;DB",1,4,46,0.804348,"same as 20pp"
OOS_ONLY_GAP_40PP,40,OOS_ONLY,FIXED_ORIGINAL,5,"ALGT;FIX;AEVA;BE;DB",1,4,46,0.804348,"same as 20pp"
DOUBLE_GAP_20PP_HALF_ORIGINAL_MINPASS,20,DOUBLE,HALF_ORIGINAL,3,"CMC;AEVA;DDOG",1,2,31,0.806452,"diagnostic only: survivor count rises by weakening sample protection; two additions fail original OOS sample gate"
DOUBLE_GAP_20PP_ABSOLUTE3_MINPASS,20,DOUBLE,ABSOLUTE_3,3,"CMC;AEVA;DDOG",1,2,31,0.806452,"diagnostic only: reproduces thin-sample illusion risk; not recommended"
