id,category,verdict,severity,finding,evidence,impact,recommended_action
F01,logic_consistency,PASS,medium,"라이브 후보 슬롯의 핵심 선정·정렬 경로는 확정 로직과 일치한다.","live_candidate_slots.py: gate_keep 확인, ev.should_buy 확인, sort_candidate_pool=(priority_group, -final_score, ticker, candidate_id). source_system.validated_candidate_policy도 같은 설명.","후보 선정 자체는 검증된 gate + should_buy + final_score priority + SPY DOWN/HIGH_VOL 후순위 구조로 동작한다.","후보 선정 경로는 유지. 단, 아래 drift/타이밍 mismatch 해결 전 자동 실거래는 보류."
F02,logic_consistency,PASS,medium,"EQ allow/block은 후보 자격·정렬에 사용되지 않는다.","entry_quality_allow=None, entry_quality_score=None, entry_quality_label=EQ_UNVERIFIED_REFERENCE_ONLY. grep 결과 entry_quality는 출력 marker와 source_system note에만 존재.","EQ_FILTER_UNVERIFIED 판정이 후보 판단에 섞이지 않는다.","현 상태 유지. UI에서는 EQ를 아예 숨기거나 '검증 안 된 참고값'으로만 표시."
F03,logic_consistency,RISK,medium,"정렬 tie-breaker에 ticker/candidate_id가 추가되어 있다.","sort_candidate_pool key=(priority_group, -final_score, ticker, candidate_id).", "final_score가 같은 후보에서만 영향. 확정 로직의 final_score 우선순위와 실질 충돌은 작지만 엄밀히는 보조 정렬 조건이다.","동점 처리 정책으로 문서화하거나, 검증 당시 우선순위와 완전히 맞추려면 동일 tie-breaker 검증."
F04,validation_live_mismatch,MISMATCH,high,"백테스트 진입은 signal_date 이후 T+1 시가인데, 라이브 슬롯은 정규장 중 현재 신호 후보를 즉시 보여주며 신호 나이만 표시한다.","per_trade_entry_quality_regime.csv: entry_date-signal_date 최소 1일, 0일 없음. live_slots_state first_signal_at은 2026-07-07T22:22:21Z로 기록되고 API가 즉시 candidate slots로 노출.","실전에서 같은 날 즉시 매수하면 백테스트의 T+1 open fill 가정과 어긋난다. 성과/슬리피지/리스크가 검증 분포와 달라질 수 있다.","자동 실거래 전 '오늘 신호는 다음 정규장 시가 주문' 또는 'intraday 즉시 매수' 중 하나로 정책 고정 후 별도 검증."
F05,validation_live_mismatch,RISK,high,"first_signal_at은 도입/refresh 시점부터 기록된 운영 시각이며, 과거 최초 신호 시점의 완전한 복원이 아니다.","state first_seen_signals가 2026-07-07T22:22:21Z부터 채워짐. readout 이전 기록 없음.","후보가 며칠 묵은 신호인지 완전 판별하지 못할 수 있다. stale signal 매수 위험.","신호 나이 기준 게이트 또는 next-open queue 기준 신호일을 별도로 저장·검증."
F06,validation_live_mismatch,MISMATCH,high,"라이브 evaluate_candidate는 최근 1년 OHLC와 1분봉 최신가/현재 market context를 사용한다. frozen OOS replay와 입력 타이밍이 완전히 동일하지 않다.","elite_shadow_trader._load_ohlcv adapter.load_history(years=1) 또는 yfinance 1y 1d. _latest_price yfinance 1d 1m prepost=True. get_market_context 현재 cache/events 사용.","D-1 lag 백테스트와 실시간 현재가/현재 market context가 섞여 신호 score와 threshold 통과 여부가 달라질 수 있다.","실전 신호 생성 시점과 데이터 cut-off를 백테스트와 맞추거나, live 방식 자체를 별도 OOS/forward 검증."
F07,validation_live_mismatch,MISMATCH,high,"슬롯 도구는 청산을 담당하지 않는다. S2 청산(원 규칙 no-TP)과 실전 청산 실행 경로가 연결돼 있는지 확인되지 않았다.","live_candidate_slots.py는 후보 진열/held exclusion만 수행. real_dashboard_api의 live_slot_buy도 상태 기록/제외용. 실제 position exit는 별도 시스템/브로커/사람 몫.","진입만 따라 하고 청산이 S2와 다르면 검증된 성과와 달라진다.","실거래 전 청산 담당 시스템과 S2 원 규칙 일치 여부를 별도 audit."
F08,validation_live_mismatch,RISK,medium,"정규장 게이트는 단순 평일 09:30~16:00 ET이며 휴장/조기폐장 캘린더를 반영하지 않는다.","regular_hours_gate.py 주석: 거래소 휴장일/조기폐장은 별도 캘린더 없으면 100% 반영 못함.","휴장일/조기폐장일에 잘못된 decision 허용/차단 가능.","NYSE calendar 기반 gate로 교체하거나, 실제 broker clock 기준으로 보강."
F09,gate_data_freshness,MISMATCH,high,"live_candidate_list_20260707.json의 93개 gate list와 현재 build_elite_shadow_report 93개 후보가 4개 candidate_id씩 불일치한다.","missing_in_gate: stage3:CVNA:8d8594e95b89, stage3:CW:81ce9154b422, stage3:CWK:2970595abcd4, stage3:DB:3fddd15661db. missing_in_report: stage3:AMP:7652abdd1325, stage3:AZZ:abfc9c937b7e, stage3:CAMT:bd5f11c548d5, stage3:CARR:91ed85bfb4a5.","현재 live report가 gate list에 없는 후보를 만들 수 있고, gate_missing으로 제외된다. 반대로 gate list에만 있는 후보도 있다. 운용 universe가 frozen 검증 universe와 drift 중이다.","실거래 전 운용 universe를 frozen 93으로 고정하거나, 새 universe로 gate/OOS 재검증."
F10,gate_data_freshness,PASS,medium,"gate list 자체는 93개, KEEP 80, DROP 13 구조로 저장되어 있다.","live_candidate_list_20260707.json summary total=93 keep=80 drop=13. OHLC snapshot file count=93.","20260707 frozen 정본 내부 일관성은 있음.","단, F09의 current report drift를 해결해야 함."
F11,gate_data_freshness,RISK,medium,"스냅샷/게이트 기준은 20260707 산출물로 최신 시장 변화나 개체 교체를 자동 반영하지 않는다.","OHLC snapshot mtime 2026-07-07, gate_csv mtime 2026-07-07, candidate list filename 20260707.","새 후보/삭제 후보가 생기면 검증된 gate와 실전 후보가 어긋날 수 있다.","운용 universe 업데이트 시 frozen snapshot/gate/portfolio 검증을 함께 재생성."
F12,safety,PASS,high,"live_candidate_slots.py 자체는 브로커 주문을 내지 않는다.","스크립트 기능은 refresh/daemon/buy/release/state/init-gates. buy는 held_exclusions와 manual_buy_events 상태 기록 후 rebuild만 수행.","슬롯 도구 단독 실행으로 실제 주문은 나가지 않는다.","현 상태 유지. 주문 시스템과 명확히 분리."
F13,safety,PASS,medium,"/dashboard-real 후보 슬롯의 '매수 후보 선택' 버튼도 현재는 실제 주문이 아니라 후보 제외/상태 기록용이다.","real_dashboard_api._mark_real_slot_manual_buy는 LIVE_SLOTS_STATE_PATH에 held_exclusions/manual_buy_events를 쓰고 slots rebuild만 수행. confirm 문구도 실제 주문 별도 확인 안내.","후보 슬롯 버튼으로 실수 주문 위험은 낮다.","UI 문구를 계속 '실주문 아님/후보 제외용'으로 유지."
F14,safety,RISK,high,"다른 API인 /api/real/manual_buy_intent는 환경변수 KINGMAKER_REAL_DASHBOARD_ALLOW_DIRECT_ORDERS=1이면 실제 Alpaca live market order를 낼 수 있다.","real_dashboard_api._create_real_buy_intent: _direct_orders_enabled() true면 broker.place_buy(... OrderType.MARKET ...). /api/real/connection 현재 direct_orders_enabled=false.","환경변수 하나로 실제 주문 경계가 바뀐다. 후보 슬롯과 별도 UI/endpoint가 혼재되어 오작동 위험.","실전 전 direct order env 관리 절차, 이중 확인, 주문 금액 cap, dry-run switch를 명문화."
F15,safety,PASS,medium,"현재 live 연결은 Alpaca live 계정 확인은 통과했지만 direct orders는 비활성이다.","/api/real/connection: account_check=passed, total_value=650.37, cash=650.37, holdings_count=0, direct_orders_enabled=false.","조회 연결은 살아 있으나 직접 주문은 꺼져 있다.","실거래 전 자금/계정/주문 모드 재확인."
F16,safety,RISK,medium,"held_exclusions는 같은 candidate_id 중복 매수 방지에는 작동하지만, 브로커 실제 보유와 자동 동기화되지 않는다.","active_held_ids는 state.held_exclusions status=open/held/active만 본다. live account holdings_count와 자동 reconcile하는 코드 없음.","VM 재시작/수동 주문/다른 시스템 주문 후 held_exclusions 누락 시 중복 후보가 뜰 수 있다.","브로커 포지션과 candidate_id/ticker 기반 held_exclusions reconciliation 추가 검증."
F17,safety,PASS,medium,"상태파일은 /tmp가 아니라 영구 경로 data/_system 아래에 저장된다.","STATE_PATH=data/_system/live_slots_state.json, EVENTS_PATH=data/_system/live_slots_events.jsonl. 현재 파일 존재 및 mtime 2026-07-08.","VM 재부팅 시 프로젝트 디스크가 유지되면 복구 가능하다.","정기 백업/원격 push 범위 또는 별도 state backup 정책 필요."
F18,safety,RISK,medium,"상태파일 손상 시 load_state는 새 기본 상태를 만들 수 있지만, held_exclusions/manual history 복구는 보장하지 않는다.","load_state JSON read 실패 시 신규 state 반환. 별도 백업/복구 routine 없음.","파일 손상 시 보유 제외 기록이 사라져 중복 후보 위험.","state atomic write는 유지하되, 주기적 snapshot 또는 broker reconcile을 추가 검토."
F19,unverified_risks,UNVERIFIED,high,"K=8 슬롯 수는 검증 포트폴리오의 K=20/10/5와 직접 일치하지 않는다.","portfolio_sim_20260707는 K=20,10,5,UNLIMITED만 있음. live_candidate_slots.SLOT_COUNT=8.","8칸 운영 성과·skip rate·MDD가 별도 검증되지 않았다.","K=8 S2 final_score priority 포트폴리오 재현 검증 필요."
F20,unverified_risks,UNVERIFIED,medium,"사람이 후보 8개 중 손으로 고르는 방식은 final_score 자동 우선순위 매수와 다르며 미검증이다.","슬롯 도구는 후보 진열/수동 선택 구조. 포트폴리오 검증은 규칙 기반 슬롯 fill.","수동 선택 편향이 성과를 악화시킬 수 있다.","수동 선택 시 규칙(항상 1순위, 또는 금액 배분 룰)을 정하고 별도 기록/검증."
F21,unverified_risks,RISK,high,"OOS 기간은 2025-2026 중심이며 강세장/특정 레짐 편향 가능성이 남아 있다.","frozen OOS 2025-2026, 하락장/레짐 분석은 별도 후보 수준에서 제한적으로 수행됨.","장기 하락장·급락장 일반화 위험.","레짐별 forward 모니터링과 손실 cap 필요."
F22,unverified_risks,UNVERIFIED,medium,"TIMEOUT_15는 포트폴리오상 좋아 보였지만 현재 라이브 슬롯/실청산에는 확정 반영되어 있지 않다.","stop_realism_priority run.log TIMEOUT_15 PR1 CAGR=90.07 MDD=-16.37 Sharpe=2.19. 그러나 live_candidate_slots는 진입 후보만 진열.","청산 정책 혼선 가능. S2와 TIMEOUT_15 중 무엇을 실거래 청산에 쓸지 불명확.","청산 정책 별도 확정 후 execution audit."
F23,unverified_risks,RISK,medium,"실시간 candle/API는 yfinance/adapter 캐시와 장후 거래 유무에 따라 최신봉이 종목별로 다를 수 있다.","real_dashboard_api candle cache TTL 1m=25s, 이전 점검에서 종목별 최신봉 차이 확인. elite_shadow_trader도 yfinance 1m latest price fallback 사용.","신호/화면 가격 지연으로 매수가와 score가 어긋날 수 있다.","실거래 주문 직전 broker quote 기준 재확인 필수."
F24,overall,NOT_READY,high,"자동 실거래 투입은 아직 준비 완료가 아니다. 정보성 후보판으로는 사용 가능하지만, 자동 주문/실청산 연결 전 F04/F07/F09/F14/F16/F19 해결 필요.","위 findings 종합: candidate universe drift, T+1 vs immediate mismatch, 청산 경로 미확정, direct order endpoint risk, K=8 미검증.","검증 가정과 실전 execution이 달라질 수 있어 실제 손실 위험.","후보판은 GO_WITH_CAUTION, 자동 실거래는 NOT_READY로 분리 운영."
