stage,artifact,path_pattern,lineage,retraining_required,regeneration,regeneration_code,live_reference,immediate_break_if_deleted,decision,decision_reason,file_count,size_bytes,records,oldest_modified_utc,latest_modified_utc,sample_paths
Stage2,config.json,exp_batch_stage123_2009_20260616_full/tickers/*/stage2*/config.json,ORIGIN,O(exact),Stage2 full rerun,run_stage2.py::build_config/run_stage2,none,X,KEEP_ORIGIN,seed/GA/data/code provenance,2045,14098317,,2026-06-16T17:52:43.781918+00:00,2026-07-06T10:34:17.830672+00:00,exp_batch_stage123_2009_20260616_full/tickers/A/stage2/config.json|exp_batch_stage123_2009_20260616_full/tickers/A/stage2_retry1/config.json|exp_batch_stage123_2009_20260616_full/tickers/A/stage2_retry2/config.json
Stage2,rulebooks_all.jsonl,exp_batch_stage123_2009_20260616_full/tickers/*/stage2*/rulebooks_all.jsonl,ORIGIN,O,rerun Stage2 GA,run_stage2.py::run_training,not direct; re-gate source,future re-gate impossible,KEEP_ORIGIN,direct Stage2 GA individual pool,1997,2103570468,599100,2026-06-16T18:28:43.223053+00:00,2026-06-24T06:11:30.710856+00:00,exp_batch_stage123_2009_20260616_full/tickers/A/stage2_retry2/rulebooks_all.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AA/stage2_retry2/rulebooks_all.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAAU/stage2_retry2/rulebooks_all.jsonl
Stage2,ga_history.csv,exp_batch_stage123_2009_20260616_full/tickers/*/stage2*/ga_history.csv,ORIGIN,O(exact),rerun Stage2 GA,run_stage2.py::run_training,none,X,KEEP_ORIGIN,direct GA telemetry,1997,45623427,,2026-06-16T18:28:43.225053+00:00,2026-06-24T06:11:30.712856+00:00,exp_batch_stage123_2009_20260616_full/tickers/A/stage2_retry2/ga_history.csv|exp_batch_stage123_2009_20260616_full/tickers/AA/stage2_retry2/ga_history.csv|exp_batch_stage123_2009_20260616_full/tickers/AAAU/stage2_retry2/ga_history.csv
Stage2,period_metrics_all.csv,exp_batch_stage123_2009_20260616_full/tickers/*/stage2*/period_metrics_all.csv,DERIVED,X,re-evaluate rulebooks_all,run_stage2.py::evaluate_periods,not direct,X,SAFE_TO_REGEN_DELETE,deterministic evaluation output,1997,850175216,,2026-06-16T18:29:37.178957+00:00,2026-06-24T06:12:18.632770+00:00,exp_batch_stage123_2009_20260616_full/tickers/A/stage2_retry2/period_metrics_all.csv|exp_batch_stage123_2009_20260616_full/tickers/AA/stage2_retry2/period_metrics_all.csv|exp_batch_stage123_2009_20260616_full/tickers/AAAU/stage2_retry2/period_metrics_all.csv
Stage2,early_cut_log.csv,exp_batch_stage123_2009_20260616_full/tickers/*/stage2*/early_cut_log.csv,DERIVED,X,re-evaluate rulebooks_all with gate,run_stage2.py::evaluate_periods,none,X,SAFE_TO_REGEN_DELETE,gate trace derived from origin,1997,291495751,,2026-06-16T18:29:37.191957+00:00,2026-06-24T06:12:18.645770+00:00,exp_batch_stage123_2009_20260616_full/tickers/A/stage2_retry2/early_cut_log.csv|exp_batch_stage123_2009_20260616_full/tickers/AA/stage2_retry2/early_cut_log.csv|exp_batch_stage123_2009_20260616_full/tickers/AAAU/stage2_retry2/early_cut_log.csv
Stage2,survivors.jsonl,exp_batch_stage123_2009_20260616_full/tickers/*/stage2*/survivors.jsonl,DERIVED,X,filter/re-evaluate rulebooks_all,run_stage2.py::evaluate_periods; standalone wrapper needed,DIRECT central_index/elite/central-control,O,KEEP_ORIGIN,derived but live dereferences it,1997,7126763,1162,2026-06-16T18:29:37.191957+00:00,2026-06-24T06:12:18.645770+00:00,exp_batch_stage123_2009_20260616_full/tickers/A/stage2_retry2/survivors.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AA/stage2_retry2/survivors.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAAU/stage2_retry2/survivors.jsonl
Stage2,trades.jsonl,exp_batch_stage123_2009_20260616_full/tickers/*/stage2*/trades.jsonl,DERIVED,X,backtest retained rulebooks,run_stage2.py::evaluate_periods,OPTIONAL elite report include_trades,partial dashboard,REVIEW,regenerable but report API reads it,1997,36375413769,,2026-06-16T18:29:38.085955+00:00,2026-06-24T06:12:19.140769+00:00,exp_batch_stage123_2009_20260616_full/tickers/A/stage2_retry2/trades.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AA/stage2_retry2/trades.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAAU/stage2_retry2/trades.jsonl
Stage2,rl_replay_trades.jsonl,exp_batch_stage123_2009_20260616_full/tickers/*/stage2*/rl_replay_trades.jsonl,DERIVED,X,backtest and emit replay schema,run_stage2.py::_rl_replay_trade,none current,X,SAFE_TO_REGEN_DELETE,replay intermediate,1997,36474003574,,2026-06-16T18:29:38.973954+00:00,2026-06-24T06:12:19.605768+00:00,exp_batch_stage123_2009_20260616_full/tickers/A/stage2_retry2/rl_replay_trades.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AA/stage2_retry2/rl_replay_trades.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAAU/stage2_retry2/rl_replay_trades.jsonl
Stage2,summary.json,exp_batch_stage123_2009_20260616_full/tickers/*/stage2*/summary.json,DERIVED,X(core)/O(exact),summarize outputs,run_stage2.py::run_stage2,none,X,REVIEW,runtime telemetry not exactly reconstructable,1997,5335115,,2026-06-16T18:29:38.974954+00:00,2026-06-24T06:12:19.606768+00:00,exp_batch_stage123_2009_20260616_full/tickers/A/stage2_retry2/summary.json|exp_batch_stage123_2009_20260616_full/tickers/AA/stage2_retry2/summary.json|exp_batch_stage123_2009_20260616_full/tickers/AAAU/stage2_retry2/summary.json
Stage2,_stage2_done.json,exp_batch_stage123_2009_20260616_full/tickers/*/stage2*/_stage2_done.json,DERIVED,X,validate outputs/rewrite marker,run_stage23_batch.py::make_stage2_marker,batch resume,resume break,KEEP_ORIGIN,operational marker,1997,1461054,,2026-06-16T18:29:39.240953+00:00,2026-06-24T06:12:19.850768+00:00,exp_batch_stage123_2009_20260616_full/tickers/A/stage2_retry2/_stage2_done.json|exp_batch_stage123_2009_20260616_full/tickers/AA/stage2_retry2/_stage2_done.json|exp_batch_stage123_2009_20260616_full/tickers/AAAU/stage2_retry2/_stage2_done.json
