artifact,path_pattern,producer,live_usage,verdict,regeneration,note,path_count,size_bytes,record_count,latest_modified_utc,sample_paths
Stage2 period metrics,exp_batch_stage123_2009_20260616_full/tickers/*/stage2*/period_metrics_all.csv,run_stage2.py::evaluate_periods,not directly consumed,REGEN_OK,rulebooks_all에서 재평가,Stage2 gate 행별 근거,1997,850175216,,2026-06-24T06:12:18.632770+00:00,exp_batch_stage123_2009_20260616_full/tickers/A/stage2_retry2/period_metrics_all.csv|exp_batch_stage123_2009_20260616_full/tickers/AA/stage2_retry2/period_metrics_all.csv|exp_batch_stage123_2009_20260616_full/tickers/AAAU/stage2_retry2/period_metrics_all.csv
Stage2 early-cut log,exp_batch_stage123_2009_20260616_full/tickers/*/stage2*/early_cut_log.csv,run_stage2.py::evaluate_periods,not directly consumed,REGEN_OK,rulebooks_all에서 재평가,첫 실패·미평가 기간 기록,1997,291495751,,2026-06-24T06:12:18.645770+00:00,exp_batch_stage123_2009_20260616_full/tickers/A/stage2_retry2/early_cut_log.csv|exp_batch_stage123_2009_20260616_full/tickers/AA/stage2_retry2/early_cut_log.csv|exp_batch_stage123_2009_20260616_full/tickers/AAAU/stage2_retry2/early_cut_log.csv
Stage2 survivors,exp_batch_stage123_2009_20260616_full/tickers/*/stage2*/survivors.jsonl,run_stage2.py::evaluate_periods,elite report and central-control direct,ACTIVE_LIVE,rulebooks_all에서 재생성 가능하지만 현재 삭제 금지,현재 live가 source_file/source_row_index로 직접 로드,1997,7126763,1162,2026-06-24T06:12:18.645770+00:00,exp_batch_stage123_2009_20260616_full/tickers/A/stage2_retry2/survivors.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AA/stage2_retry2/survivors.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAAU/stage2_retry2/survivors.jsonl
central index,exp_batch_stage123_2009_20260616_full/central_index.jsonl,run_stage23_batch.py::build_*_central_index_rows,Stage2 elite and central-control direct,ACTIVE_LIVE,survivors/final outputs에서 재색인,"153,561행 중 다수 비적격·Stage3 기록 포함",1,293893263,153561,2026-07-08T16:17:45.558165+00:00,exp_batch_stage123_2009_20260616_full/central_index.jsonl
Stage3 validation results,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/validation_results.jsonl,run_stage3_aggressive.py::run_validate,not active elite input,REGEN_OK,final_rulebooks 재검증,active elite가 우회,286,142674131,16929,2026-07-08T16:17:44.850166+00:00,exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/validation_results.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAL/stage3/validation_results.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/validation_results.jsonl
Stage3 profile catalog,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/stage3_profile_catalog.jsonl,run_stage3_aggressive.py::run_validate,inactive stage3 mix source only,REGEN_OK,final_rulebooks 재검증,현역 Stage3 70개 중 9개만 catalog와 일치,286,19082777,2124,2026-07-08T16:17:44.853166+00:00,exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/stage3_profile_catalog.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAL/stage3/stage3_profile_catalog.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/stage3_profile_catalog.jsonl
Stage3 ineligible,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/stage3_ineligible.jsonl,run_stage3_aggressive.py::run_validate,not consumed,REGEN_OK,final_rulebooks 재검증,validate 탈락 근거,286,123588177,14805,2026-07-08T16:17:44.870166+00:00,exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/stage3_ineligible.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAL/stage3/stage3_ineligible.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/stage3_ineligible.jsonl
Stage3 live pool,data/_system/central/stage3_live_pool/stage3_live_pool.jsonl,build_stage3_live_pool.py,supported only when run_live --central-stage3-mix on; currently off/not running,STALE_OUTPUT,최신 profile catalog에서 재생성,6/26 593행 source snapshot; 최신 canonical catalog 2012행 미반영,1,2206962,232,2026-06-26T05:14:26.209675+00:00,data/_system/central/stage3_live_pool/stage3_live_pool.jsonl
Stage3 live pool filtered,data/_system/central/stage3_live_pool/stage3_live_pool_filtered.jsonl,build_stage3_live_pool.py custom output,no code consumer found,STALE_OUTPUT,최신 profile catalog에서 재생성,6/26 723행 source snapshot; payoff ratio variant,1,1775994,186,2026-06-26T12:49:09.254866+00:00,data/_system/central/stage3_live_pool/stage3_live_pool_filtered.jsonl
Stage3 live-pool summaries,data/_system/central/stage3_live_pool/*summary*.json,build_stage3_live_pool.py,not current runtime,STALE_OUTPUT,pool rebuild와 함께 재생성,stale pool metadata; two pool variants were built from different source snapshots,2,3733,,2026-06-26T12:49:09.258866+00:00,data/_system/central/stage3_live_pool/summary.json|data/_system/central/stage3_live_pool/summary_filtered.json
candidate denylist,data/_system/candidate_denylist.json,manual/audit policy,elite report direct,ACTIVE_LIVE,not a generated output,"Stage2/3 cap·ticker dedup 뒤, merge 직후 적용",1,5497,,2026-07-10T10:00:10.647310+00:00,data/_system/candidate_denylist.json
MAE/MFE live gate list,data/_system/live_candidate_list_20260707.json,live_candidate_slots.py::derive_gate_list,live slot daemon direct,ACTIVE_LIVE,analysis gate source CSVs에서 재생성,93개 역사 후보 기반; 현재 report 82 중 9개 missing,1,29709,,2026-07-07T20:38:48.467843+00:00,data/_system/live_candidate_list_20260707.json
live slots state,data/_system/live_slots_state.json,live_candidate_slots.py::refresh_slots,daemon/API/export direct,ACTIVE_LIVE,elite report+gate+signal에서 1분 단위 재생성,"현재 17 pool, 8 slots, 9 waitlist",1,160024,,2026-07-10T15:22:35.069683+00:00,data/_system/live_slots_state.json
