field,category,definition_file,definition_lines,first_commit,first_commit_time,formula,input_source,single_axis,aggregate_result,event_related,final_score_related,exception_eligible,notes
sentiment_avg,news_sentiment,engine/market/ticker_sentiment.py,39-64;67-145,f304f9c9d3a2f9508a065ba7b900612d1ae62b84,2026-05-27T06:00:27+00:00,"sum(ticker_sentiment_score*relevance_score)/sum(relevance_score); relevance 합이 0이면 단순평균",Alpha Vantage NEWS_SENTIMENT ticker_sentiment_score+relevance_score,YES,YES,NO,NO,CONDITIONAL,"일별 다기사 가중평균이므로 단일 의미축이나 여러 기사 합산값; 원천 저장은 있으나 라이브 후보 스냅샷 미보존"
sent_earnings,news_topic_sentiment,engine/market/ticker_sentiment.py,15-29;119-143,a6dcd08def0c732255cd1fcdbc7265a41ddcf806,2026-05-29T08:43:39+00:00,"sum(score*ticker_relevance*topic_relevance)/sum(ticker_relevance*topic_relevance)",Alpha Vantage ticker sentiment + earnings topic relevance,YES,YES,NO,NO,CONDITIONAL,"earnings 한 토픽 축이지만 다기사 합산; 값 0이 결측과 중립을 구분하지 못함"
ticker_sentiment_score,raw_article_sentiment,engine/market/ticker_sentiment.py,39-64,a6dcd08def0c732255cd1fcdbc7265a41ddcf806,2026-05-29T08:43:39+00:00,"float(article.ticker_sentiment[].ticker_sentiment_score)",Alpha Vantage article payload,YES,NO,NO,NO,NO,"기사 단위 원천값이며 후보 단위 단일 점수로 저장되지 않음"
news_sentiment_avg,market_news,engine/market/context.py,66-90;615-627,f304f9c9d3a2f9508a065ba7b900612d1ae62b84,2026-05-27T06:00:27+00:00,"현재 생성 경로에서 상수 0.0",MarketContext constructor,YES,NO,YES,NO,NO,"필드는 존재하지만 실질 계산·갱신 없음"
event_adjustment,event,engine/market/context.py,403-538;581-627,f304f9c9d3a2f9508a065ba7b900612d1ae62b84,2026-05-27T06:00:27+00:00,"aggregate_events total_impact + 이전 active_events TTL/decay 병합",NewsAPI+LLM event interpretation+cached active_events,NO,YES,YES,NO,NO,"복수 이벤트·기사 합산 및 감쇠; Event 축 OFF/저신뢰 배경과 직접 관련"
score_with_events,event_composite,engine/market/context.py,753-774,f304f9c9d3a2f9508a065ba7b900612d1ae62b84,2026-05-27T06:00:27+00:00,"clip(score + event_adjustment,0,100)",market_history_v2 score+event_adjustment,NO,YES,YES,YES,NO,"합산 금지 대상"
topic_news,news_composite,engine/strategies/evaluator.py,144-171,caeb6d7a9c1c1e7516eb8851d7e8d2287b9200e2,2026-05-30T10:12:47+00:00,"clip(sum(weight_news_topic * normalized_topic_feature), +/-news_block_cap)",15개 topic sentiment z-score features + learned weights,NO,YES,NO,YES,NO,"복수 토픽 합산 결과"
final_score,stage2_composite,engine/strategies/evaluator.py,68-225;223-232,59b8a47b4023106070f3afb8d12ae8128b435004,2026-05-25T00:33:29+00:00,"raw_score * market_adjustment; raw_score에 가격·거래량·뉴스·이벤트 등 포함",OHLCV indicators+market+sector+news+events+topic features,NO,YES,YES,YES,NO,"5번 규칙의 합산 금지 대상 그 자체"
flow,flow,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_STORED,NOT_STORED,UNKNOWN,UNKNOWN,NO,NO,NO,"앵커명 기준 후보 단일 호재 점수 정의를 확인하지 못함"
order_book,order_book,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_STORED,NOT_STORED,UNKNOWN,UNKNOWN,NO,NO,NO,"앵커명 기준 후보 단일 호재 점수 정의를 확인하지 못함"
catalyst_surprise_guidance_upgrade,catalyst,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_STORED,NOT_STORED,UNKNOWN,UNKNOWN,NO,NO,NO,"catalyst/surprise/guidance/upgrade 이름의 라이브 단일 점수 필드 없음; 텍스트 키워드·이벤트 분류만 존재"
