item,value,status,evidence
S2_auto_identity,"engine/live/s2_auto_trader.py::S2AutoTrader; next-open auto-buy controller",CONFIRMED,"engine/live/s2_auto_trader.py:137-145;342-489"
S2_runner,"scripts/run_s2_auto_live.py; status/probe/plan/tick/daemon commands",CONFIRMED,"scripts/run_s2_auto_live.py:27-71"
introduced_at,"2026-07-08T06:21:18Z commit 75faf9a5871fe92fa43cb842f79481b0b6ac4825",CONFIRMED,"git log --follow"
candidate_source,"data/_system/live_slots_state.json::candidate_pool",CONFIRMED,"engine/live/s2_auto_trader.py:37;290-298"
full_candidate_lookup,"build_elite_shadow_report(stage2_limit=60,stage3_limit=80) then candidate_id exact match",CONFIRMED,"engine/live/s2_auto_trader.py:300-311"
execution_recheck,"evaluate_candidate(full, current market context); require should_buy=true",CONFIRMED,"engine/live/s2_auto_trader.py:313-329"
relationship_to_live_candidate_slots,"live_candidate_slots daemon builds shared candidate_pool from elite report; S2 consumes that stored pool",CONFIRMED,"data/_system/ops/live_candidate_slots.py:378; engine/live/s2_auto_trader.py:290-298"
relationship_to_elite_report,"S2 uses elite report only for full payload/rulebook relookup at execution",CONFIRMED,"engine/live/s2_auto_trader.py:300-311"
current_daemon_state,"S2 auto daemon not running; live_candidate_slots daemon is running",CONFIRMED,"ps snapshot 2026-07-12; PID 494330 only live_candidate_slots"
cron_state,"no S2 auto cron; live_candidate_slots guard runs every minute and at reboot",CONFIRMED,"crontab snapshot 2026-07-12"
current_master_enabled,false,CONFIRMED,"data/_system/live_auto_config.json mtime 2026-07-08T13:15:57Z"
current_auto_buy_enabled,false,CONFIRMED,"data/_system/live_auto_config.json"
current_auto_exit_enabled,false,CONFIRMED,"data/_system/live_auto_config.json"
current_real_orders_enabled,true,CONFIRMED,"data/_system/live_auto_config.json"
current_dry_run,false,CONFIRMED,"data/_system/live_auto_config.json"
current_effective_order_state,"BLOCKED because master=false and auto_buy=false; operator not armed; direct-order env false",CONFIRMED,"engine/live/s2_auto_config.py:151-168; live_auto_state last plan"
