order,branch,gate_name,code,input,output,criteria,input_count,pass_count,reject_count,count_note,overlap_or_conflict
10,Stage2,GA hash 대표화,run_stage2.py::build_representatives,rulebooks_all,in-memory representatives,rulebook_hash 중복 제거; 같은 hash는 train_fitness 최고 대표,599100,599099,1,1997개 유효 Stage2 디렉터리 합계,
20,Stage2,Stage2 순차 gate: stress,stage2_gate.py::stage2_fail_reasons,stress_pre_2022h1,next alive set / period_metrics_all / early_cut_log,"expectancy>=1, MDD>=-20, expectancy*trades/abs(MDD)>1",599099,52087,547012,첫 실패 시 후속 기간 미평가,
30,Stage2,Stage2 순차 gate: train_3,stage2_gate.py::stage2_fail_reasons,train_3_eval,next alive set / period_metrics_all / early_cut_log,"trades>=5, member_score>=10, expectancy>=1",52087,28668,23419,첫 실패 시 후속 기간 미평가,
40,Stage2,Stage2 순차 gate: train_2,stage2_gate.py::stage2_fail_reasons,train_2_eval,next alive set / period_metrics_all / early_cut_log,"trades>=5, member_score>=10, expectancy>=1",28668,11365,17303,첫 실패 시 후속 기간 미평가,
50,Stage2,Stage2 순차 gate: train_1,stage2_gate.py::stage2_fail_reasons,train_1_eval,next alive set / period_metrics_all / early_cut_log,"trades>=5, member_score>=10, expectancy>=1",11365,5429,5936,첫 실패 시 후속 기간 미평가,
60,Stage2,Stage2 순차 gate: oos_2025h2,stage2_gate.py::stage2_fail_reasons,oos_2025h2,next alive set / period_metrics_all / early_cut_log,"trades>=5, member_score>=10, expectancy>=1, MDD>=-15",5429,1162,4267,첫 실패 시 후속 기간 미평가,
70,Stage2,Stage2 survivor 저장,run_stage2.py::evaluate_periods,5개 gate 통과 hash,survivors.jsonl,5개 기간 모두 통과,599099,1162,597937,최종 survivor,
100,Stage3,qualify 3년 절대 gate,stage3_gate.py::stage3_qualify_fail_reasons,3개 split GA top hash,qualify_result.json,"각 3년 모두 trades>=5, member_score>=10, expectancy>=2; 3/3",147899,5219,142680,493개 qualify 결과; qualified ticker 290,개별 qualify 통과 룰북은 저장하지 않아 이후 재게이트 불가
110,Stage3,entry 절대 expectancy cut,run_stage3_aggressive.py::_select_diverse_entry_rows,entry GA top100,eligible entry rows,train_3 expectancy>=2.0,28699,26000,2699,287개 entry_result,
120,Stage3,entry 중복 제거 + top20,run_stage3_aggressive.py::_select_diverse_entry_rows,absolute-pass entry,entry_rulebooks.jsonl,entry-date Jaccard>=0.7 reject; ticker당 최대20,26000,5663,10988,top20 도달 후 나머지 9349개는 rejected 파일에도 기록되지 않음,중복 제거와 top20 cap이 한 루프에 섞여 탈락 계보가 불완전
130,Stage3,exit GA top3,run_stage3_aggressive.py::_run_exit_ga_for_entry,entry_rulebooks,final_rulebooks.jsonl,entry별 exit gene 60개체/25세대 후 composite_fitness 상위3,5303,15909,0,269개 완료 exit_result; 출력은 입력당 3개,
140,Stage3,pure-OOS basic eligibility,stage3_gate.py::stage3_basic_eligibility,final_rulebooks,stage3_profile_catalog / stage3_ineligible,"train_1, train_2, recent_1y 각각 expectancy>=1; MDD/보유일은 label만",15909,2012,13897,269개 validate_result,현재 elite live는 이 catalog를 우회하고 final_rulebooks를 직접 필터링
200,Active elite,Stage2 elite static filter,elite_shadow_report.py::collect_stage2_elite,central_index eligible Stage2 rows,ranked Stage2 candidates,"OOS exp>=2.7, fitness>=70, trades>=15, win>=70, stress exp>=0.5, DD>-18, min trades>=8 + anti-pattern",3486,78,3408,static pass 후 ticker top1; 13 ticker,central_index Stage2 eligible rows are 3 identical index copies per survivor; Stage2 survivor gate와 대부분 중복; stress 0.5는 기존 survivor 1.0보다 느슨해 실질 무효
210,Active elite,Stage3 elite static filter,elite_shadow_report.py::collect_stage3_elite,canonical final_rulebooks,ranked Stage3 candidates,"bull/stress metrics exp>=2.7, fitness>=45, win>=70, trades>=8, DD>-18 + anti-pattern",15909,4640,11269,static pass→ticker top1 246→top80,validate pure-OOS catalog 우회; 현역 Stage3 70개 중 profile catalog 포함 9개
220,Active elite,ticker dedup + stage cap,elite_shadow_report.py::collect_stage*_elite,static pass rows,Stage2<=60 + Stage3<=80,elite_score 내림차순; ticker당 1개,4718,93,4625,Stage2 13 + Stage3 80,denylist가 이 뒤에 적용되어 차단 ticker의 차순위 후보 fallback 없음
230,Active elite,candidate denylist,elite_shadow_report.py::apply_candidate_denylist,93 capped candidates,82 report candidates,candidate_id exact 또는 ticker/stage 제약 rule_hash; inactive entry 제외,93,82,11,Stage2 12 + Stage3 70,per-ticker top1 뒤 적용되어 11개 ticker가 대체 후보 없이 사라짐
300,Live slots,정규장 decision gate,regular_hours_gate.py::regular_hours_snapshot,report candidates,fresh evaluation 또는 cached pool,미국 평일 09:30<=ET<16:00,82,82,0,장외에는 후보 재평가 없이 cached pool 재사용,거래소 휴장·조기폐장 미반영
