time_utc,commit,target_after_change,horizon,unit,stated_reason_or_objective,status,evidence
2026-07-03T14:32:14+00:00,b8138f3ca9dffbeccf0b7dd02c2336c1943d544a,"next-day HIGH/LOW range prediction",1 trading day,percent/bin,"new next-day high-low predictor",CONFIRMED,"commit message"
2026-07-04T12:05:21+00:00,3048579f792f0d3d213034c6956f33973cc8130b,"next-day HIGH/LOW prediction using Stage2 components plus prior 5-day pattern",1 trading day,percent/bin,"combine existing Stage2 entry components and recent five-day pattern",CONFIRMED,"commit message"
2026-07-04T12:15:39+00:00,b03f39b2ed190d6a2f12f798b683bc48ee950421,"simultaneous HIGH/LOW plus actual percent MAE",1 trading day,percent and bin,"improve both high/low prediction and actual percentage MAE",CONFIRMED,"commit message and historical script"
2026-07-04T13:32:11+00:00,2f4ab8d081e998cf7a98e984b6525893df6f92c2,"upside/downside 2% binary event",1 trading day,fixed 2%,"relax difficult exact-bin prediction into event classification",CONFIRMED,"commit message; EVENT_BIN_THRESHOLD=3"
2026-07-04T14:22:39+00:00,33605eb80b6a1f25c09aacd2813b4da348f91b8b,"separate HIGH and LOW 2% events",1 trading day,fixed 2%,"train upside and downside separately",CONFIRMED,"commit message and historical script target_desc"
2026-07-04T15:31:26+00:00,ee0836293fe12a26b0553ff27aece95e1086fa89,"precision-focused upside 2% event",1 trading day,fixed 2%,"prioritize tradable precision; constrain signal rate to 5-20%",CONFIRMED,"commit diff docstring and MIN_PRECISION/MIN_SIGNAL_RATE constants"
2026-07-04T16:23:39+00:00,2f0861237f0f7432c56c357373454f507be310f4,"TP +2% / SL -1% conservative LONG label",1 trading day,fixed percent,"replace simple high-hit with practical TP/SL label and conservative same-day ambiguity handling",CONFIRMED,"commit diff docstring"
2026-07-04T18:03:10+00:00,c06e5be5dbd0cf6c695d878c83d51c349513b575,"TP-only +2% hit",1 trading day,fixed percent,"remove SL from label to test whether signals can identify TP hits first",CONFIRMED,"commit diff docstring"
2026-07-04T22:40:53+00:00,f354304581d0e9e90a8d284e232e8ae46b9db231,"next-day large-range volatility",1 trading day,rolling percentile,"predict large movement before combining with Stage2 direction",CONFIRMED,"commit diff docstring; RANGE_QUANTILE=0.70"
2026-07-05T03:02:36+00:00,77c5213f3230134848227748ce4df77c795da340,"fixed Stage2 train1/2/3 survival structure",1 trading day,bin/percent,"restore Stage2-style independent survival",CONFIRMED,"commit message"
2026-07-05T07:32:36+00:00,b27e58e96020617b942600806b1a09f10003c33d,"true 3-bin HIGH/LOW model",1 trading day,coarse bin,"simplify output into three bins",CONFIRMED,"commit message"
2026-07-05T12:21:56+00:00,d66a5ec1337710e68a0f3e4e696dc9a59e45289f,"no-signal-capable pattern detector",1 trading day,coarse bin,"allow selective pattern detection instead of always predicting",CONFIRMED,"commit message"
2026-07-05T13:15:29+00:00,3b243825aade738d67427dd9e9f144c297ecd026,"dense feature-weight pattern individual",1 trading day,coarse bin,"learn full feature weights and individual cuts",CONFIRMED,"commit message"
2026-07-05T15:30:28+00:00,b89d24d22a081b93e1f804711f4e65809bafe453,"same next-day coarse target with lookback expanded 5 to 10",1 trading day,coarse bin,"expand feature history",CONFIRMED,"commit message and current script lines 3-13"
2026-07-05T15:39:24+00:00,c89322505c0614cd640f059d74f3ede166d75781,"next-day ATR payoff two-gene GA",1 trading day,ATR multiple,"separate upside reward and downside risk genes",CONFIRMED,"run_payoff_two_gene_ga.py"
2026-07-06T03:53:26+00:00,babc0037ffe9d498020c41d5b77b6a5fa866294f,"5-day lag payoff with configurable upside ATR target",1 trading day,ATR multiple,"test 0.5/0.7/0.8/1.0 ATR target baselines",CONFIRMED,"target wrapper commit and scripts"
2026-07-06T04:25:52+00:00,e22a445e94931838f98288f517ab3665ae1e8cd9,"5-day lag next-day ATR payoff with D0 leakage removal and final audit",1 trading day,ATR multiple,"separate soft training pass from stress/OOS true validation",CONFIRMED,"finalaudit wrapper lines 1-14;301-323"
,reachable_history,"exact 2-trading-day +2% to +3% target",2 trading days,fixed 2-3%,"no code or artifact located",NOT_FOUND,"repository and Git history search"
,transformation_reason_2day_to_1day,"why a two-day design was dropped for one-day",, ,"no explicit decision record; first predictor already used next_day",NOT_FOUND,"earliest predictor history"
,transformation_character,"2% to TP/SL to range/ATR changes",1 trading day,multiple,"commit messages explicitly describe objective changes",CONFIRMED_INTENTIONAL_EXPERIMENTATION,"not accidental code drift"
