source,scope,available,history_available,point_in_time_history_available,coverage_or_shape,fields,limitation
market_history_v2.csv,market-wide,false,false,false,"2196 rows; 2020-06-01~2026-06-05","has_earnings_shock only","No ticker/symbol, earnings date, EPS estimate, reported EPS, surprise, or revision columns"
yfinance.calendar,AAP,true,false,false,"current upcoming event","Earnings Date; current EPS/revenue estimate range","Current snapshot only"
yfinance.calendar,POWI,true,false,false,"current upcoming event","Earnings Date; current EPS/revenue estimate range","Current snapshot only"
yfinance.get_earnings_dates,AAP,true,true,false,"99 deduplicated dates; 2002-02-20~2026-08-13; sample-period 26 events","EPS Estimate; Reported EPS; Surprise(%)","Historical event dates are final observed dates, not archived point-in-time calendar snapshots"
yfinance.get_earnings_dates,POWI,true,true,false,"94 deduplicated dates; 2002-04-25~2026-08-06; sample-period 26 events","EPS Estimate; Reported EPS; Surprise(%)","Historical event dates are final observed dates, not archived point-in-time calendar snapshots"
yfinance.earnings_estimate,AAP,true,false,false,"4 periods x 7 columns","avg; low; high; yearAgoEps; analyst count; growth","Current snapshot only"
yfinance.earnings_estimate,POWI,true,false,false,"4 periods x 7 columns","avg; low; high; yearAgoEps; analyst count; growth","Current snapshot only"
yfinance.eps_revisions,AAP,true,false,false,"4 periods x 5 columns","up/down revisions over 7/30 days","Current snapshot only; cannot historical-backtest revision feature"
yfinance.eps_revisions,POWI,true,false,false,"4 periods x 5 columns","up/down revisions over 7/30 days","Current snapshot only; cannot historical-backtest revision feature"
yfinance.eps_trend,AAP,true,false,false,"4 periods x 6 columns","current; 7/30/60/90 days ago","Current snapshot only"
yfinance.eps_trend,POWI,true,false,false,"4 periods x 6 columns","current; 7/30/60/90 days ago","Current snapshot only"
engine.adapters.us_stock.fetch_earnings_calendar,AAP/POWI,true,false,false,"wrapper around yfinance calendar","current earnings calendar dict","Existing adapter does not expose historical earnings dates, surprise history, or revision history"
