id,part,category,verdict,severity,finding,evidence,impact,recommended_action
A01,A,order_path,ORDER_SAFELY_LOCKED_CURRENT,high,"현재 /dashboard-real 후보 슬롯의 매수 후보 선택 경로는 실제 주문을 내지 않는다.","UI handleBuy -> /api/real/live_slot_buy -> _mark_real_slot_manual_buy(). 이 함수는 held_exclusions/manual_buy_events 기록, state rebuild, event append만 수행하고 broker/place_buy 호출이 없다.","후보 슬롯 버튼만 누르면 실제 주문은 나가지 않는다.","후보 슬롯 버튼 문구를 계속 '실주문 아님/후보 제외용'으로 유지."
A02,A,order_path,ORDER_RISK,high,"별도 /api/real/manual_buy_intent 경로는 환경변수 KINGMAKER_REAL_DASHBOARD_ALLOW_DIRECT_ORDERS=1이면 실제 Alpaca live 시장가 매수를 제출한다.","_create_real_buy_intent(): if _direct_orders_enabled(): broker.place_buy(ticker, shares, OrderType.MARKET). _direct_orders_enabled는 env 값이 1/true/yes/on인지 확인.","환경변수 하나가 켜지면 API POST 한 번으로 실제 주문이 나갈 수 있다.","실전 전 이 endpoint를 후보 슬롯 버튼과 분리 표시하고, env 관리/주문 cap/이중확인/dry-run policy를 명문화."
A03,A,current_state,ORDER_SAFELY_LOCKED_CURRENT,high,"현재 공개 연결 상태에서 direct_orders_enabled=false다.","/api/real/connection: direct_orders_enabled=false, account_check=passed, broker_mode=alpaca_live, cash=650.37, holdings_count=0.","현재 서버 상태에서는 manual_buy_intent도 intent_only로 기록될 뿐 직접 주문은 비활성이다.","실거래 직전 /api/real/connection을 다시 확인."
A04,A,shortest_live_order_path,ORDER_RISK,high,"이중확인 없이 주문 나가는 최단 서버 경로는 env ON + POST /api/real/manual_buy_intent다.","Route real_manual_buy_intent(req) -> _create_real_buy_intent(req) -> _direct_orders_enabled true -> _get_real_broker -> broker.get_current_price -> shares=notional/price -> broker.place_buy MARKET.","UI confirm은 브라우저 UI에만 있고 API 직접 호출에는 추가 승인 단계가 없다.","서버 측 추가 confirmation token 또는 max notional cap 없이는 direct_orders_enabled를 켜지 말 것."
A05,A,order_sizing,ORDER_RISK,high,"real manual buy 수량은 사용자가 보낸 notional을 현재가로 나눈 값이며 주문 한도 cap이 없다.","_positive_float(notional)로 양수만 검증. shares = notional / broker.get_current_price(ticker). max_notional/max_shares/cash cap 검증이 _create_real_buy_intent 내부에 없다.","오입력 금액이 그대로 시장가 수량으로 변환될 수 있다.","direct order 활성화 전 per-order cap, account cash cap, candidate cap, confirmation phrase 추가."
A06,A,sell_path,ORDER_RISK,medium,"/api/real/manual_sell_intent도 env ON이면 실제 Alpaca live 시장가 매도를 제출한다.","_create_real_sell_intent(): broker positions 확인 후 if _direct_orders_enabled(): broker.place_sell(... MARKET).", "매도 intent도 env ON 시 직접 주문 경로가 된다.","매수와 동일하게 sell cap/confirmation/reconciliation 필요."
A07,A,other_order_paths,RISK,medium,"프로젝트에는 Runner/PositionManager/central ledger 등 다른 주문 경로가 존재하지만 현재 후보 슬롯 버튼 경로와는 별개다.","grep place_buy/place_sell: engine/live/runner.py, position_manager.py, central ledger 등. 현재 실행 프로세스는 uvicorn api_server_candidate_only와 live_candidate_slots daemon만 확인됨.","다른 live runner를 별도로 실행하면 그쪽 주문/청산 정책이 적용될 수 있다.","실전 시 어떤 프로세스가 주문 권한을 갖는지 하나로 고정."
B01,B,exit_path,EXIT_PATH_UNCLEAR,high,"라이브 후보 슬롯 수동 매수 후 해당 포지션이 자동으로 PositionManager에 등록되는 경로가 확인되지 않는다.","/api/real/live_slot_buy는 state held_exclusions만 기록. /api/real/manual_buy_intent direct order도 row/status 저장과 broker.place_buy만 수행하며 PositionManager.register_entry 호출이 없다.","매수 후 자동 S2 청산이 시작된다고 볼 수 없다. de facto 사람 수동 청산 또는 별도 미확인 시스템 몫이다.","실전 전 BUY 체결 -> PositionManager.register_entry 또는 equivalent reconciliation 연결을 검증."
B02,B,exit_owner,EXIT_PATH_UNCLEAR,high,"자동 청산을 수행하는 일반 live 시스템은 Runner.tick_market -> PositionManager.check_exits 경로다.","runner.py tick_market calls position_manager.check_exits(). position_manager._check_one() triggers broker.place_sell when exit_reason exists.","이 경로가 real dashboard manual buy와 연결되지 않으면 후보 슬롯 매수분은 S2 자동청산 대상이 아니다.","real dashboard order path와 Runner/PositionManager path를 하나로 통합하거나 수동 청산임을 명시."
B03,B,take_profit_residue,EXIT_MISMATCH,high,"실전 자동청산 코드에는 take_profit이 살아 있다.","position_manager._legacy_exit_reason(): fixed/hybrid에서 price >= target_price -> take_profit. core exit_policy.evaluate_exit(): fixed/hybrid에서 target_hit -> take_profit. elite_shadow_trader/elite_strategy_sim도 fixed/hybrid target_price hit -> take_profit.","검증된 S2 no-TP(analysis_exit_reason/s2_exit_reason에 take_profit 0건)와 불일치한다. hybrid 후보가 자동청산에 등록되면 목표가 익절이 발생할 수 있다.","S2 실청산을 쓸 경우 take_profit target_hit를 제거/비활성화하는 별도 검증 후 적용."
B04,B,take_profit_3pct,EXIT_MISMATCH,medium,"정확히 고정 3% 익절 문자열/상수는 핵심 live exit path에서 확인되지 않았지만 ATR 기반 target/take_profit은 존재한다.","검색 결과 core/live exit path는 take_profit_atr -> target_price 구조. DemoRuleBook stop_loss_pct 0.03은 손절 기본값이며 3% 익절은 아님. elite_exit_policy_lab에는 +3% profit lock 실험 policy가 있으나 후보 슬롯 실청산 경로는 아님.","문제는 3% 고정 익절보다 더 일반적으로 take_profit 트리거 자체가 살아 있다는 점이다.","S2 no-TP와 맞추려면 fixed/hybrid target_hit 전체를 비활성화해야 함."
B05,B,s2_backtest_reference,PASS,high,"검증에 사용한 S2/analysis exit reason에는 take_profit이 없다.","per_trade_entry_quality_regime.csv counts: s2_exit_reason take_profit count 0, analysis_exit_reason take_profit count 0. 원 exit_reason에는 take_profit 4107건 존재.","S2는 take_profit 제거 버전으로 검증된 것으로 확인된다.","실청산도 이 상태와 맞춰야 함."
B06,B,s2_trigger_table,EXIT_MISMATCH,high,"S2 필수 트리거 중 stop_loss/trailing/sell_omen/time_out/breakeven_stop은 live exit code에 있으나 take_profit도 추가로 존재한다.","exit_policy.evaluate_exit ordering includes stop_loss, breakeven_stop, sell_omen, trailing, take_profit, time_out. legacy also fixed/hybrid take_profit. trailing strategy만 target take_profit이 없다.","S2보다 트리거가 하나 더 많아 조기 청산 분포가 달라질 수 있다.","S2 청산 모드 명시 및 take_profit 제거 검증 필요."
B07,B,candidate_exit_configs,RISK,high,"현재 8개 후보 중 hybrid가 5개라 자동 PositionManager 청산에 등록되면 take_profit 영향권이다.","현재 slots: BTBT/CE/ALGT(stage2)/CAMT/ALGT(stage3)=hybrid, BMI/BMA/ADMA=trailing. hybrid는 live exit에서 target_hit -> take_profit.","8개 중 다수가 S2 no-TP와 어긋날 수 있다.","자동청산 연결 전 후보별 exit_strategy에 따른 no-TP 호환성 확인."
B08,B,exit_policy_env,RISK,medium,"실계좌 Runner는 startup에서 EXIT_LIVE_POLICY=1 필요 가드가 있으나 현재 api/dashboard 후보 슬롯 수동매수에는 이 가드가 직접 연결되지 않는다.","scripts/run_live.py validate_startup_exit_policy(broker). 현재 실행 프로세스에 run_live.py 없음. real_dashboard direct order path는 PositionManager/validate_startup_exit_policy 경유 없음.","대시보드 직접주문으로 산 포지션은 Runner 가드/청산 체계 밖에 놓일 수 있다.","direct real_dashboard order를 쓰지 말고 Runner/central order path로 통합하거나 manual로 명확화."
B09,B,current_positions,RISK,medium,"positions.json에는 3개 추적 포지션이 있으나 /api/real/connection은 실계좌 holdings_count=0이다.","positions.json MPLX/CAKE/WPM 존재. real connection holdings_count=0.","PositionManager 상태와 Alpaca live 실제 보유가 일치하지 않아 자동청산/보유표시 혼선 가능.","실전 전 positions.json과 broker holdings reconciliation 필요."
B10,B,manual_exit,EXIT_IS_MANUAL,high,"현재 후보 슬롯 기반 수동매수를 시작하면 청산은 자동 S2가 아니라 사람 수동 또는 미확인 별도 시스템이 될 가능성이 높다.","slot buy는 상태 기록만, real direct buy는 PositionManager register 없음, 현재 run_live process 없음.","진입만 검증 규칙이고 청산은 재량이 되어 성과 정합성이 깨진다.","실제 매수 전 청산 매뉴얼 또는 자동 S2-noTP 청산 구현/검증을 먼저 확정."
