timestamp_utc,commit_or_artifact,event,code_state,training_effect,evidence
2026-05-27T06:00:27Z,f304f9c,Event block and historical event flags introduced,"run_backtest unconditionally extracts 11 has_* flags from market_history when present",ENABLED,"engine/learning/backtest.py diff; event_response_* and active_events introduced in same commit"
2026-05-30T11:44:19Z,ea4341e,Live LearnedRuleBook begins passing active_events flags to evaluator,"commit message calls prior state a backtest-live mismatch and reports DIFF 1.39->0",ENABLED_IN_BACKTEST_AND_LIVE,"LearnedRuleBook event_flags wiring"
2026-06-07T06:30:47Z,lr8c_run2 pre-fix log,Actual GA full-run starts before switch exists,"market_history built then v2 event columns 18 merged; GA generations run",ENABLED_ACTUAL_RUN,"run2.log; progressed through at least 56/340 period rows by 12:58:23"
2026-06-08T00:23:41Z,d6bd746,use_llm_events switch introduced and LR8C runner explicitly disabled,"run_backtest default False; run_lr8c_run2_fulluniverse base_kwargs use_llm_events=False",DISABLED_FOR_LR8C,"commit subject: LR-8C-FIX LLM 이벤트 차단..."
2026-06-08T00:25:09Z,86bf54b,Generic run_backtest default reverted False->True,"function API default True; explicit LR8C runner False remains",LR8C_STILL_DISABLED,"diff changes only default; runner override unchanged"
2026-06-08T10:21:40Z,lr8c_run2 post-fix rerun,Sharded full run restarted after disable commits,"completed artifacts contain zero-valued entry_event_flags throughout",DISABLED_ACTUAL_RUN,"shard pid/log mtimes; completed outputs at 21:18; no nonzero has_* found"
2026-06-08T22:49:26Z,3b545c3,LR8D integrated smoke added,"kwargs use_llm_events=False",DISABLED,"run_lr8d_abcd_smoke.py"
2026-06-10T03:38:01Z,cd76748,Replay modes formalized,"default stage2_parity=False; True retained only as event_diagnostic",DISABLED_FOR_PARITY,"daily_signal_replay.py comments and CLI"
2026-06-14T02:39:57Z,a5dd0fa,Stage3 execution-mode path fixed,"tests assert use_llm_events is False",DISABLED_FOR_STAGE3,"run_stage3_aggressive.py and test"
2026-06-14T18:06:33Z,194c503,Stage2 production runner added,"base_kwargs use_llm_events=False and tests assert it",DISABLED_FOR_STAGE2,"run_stage2.py"
