candidate_id,ticker,current_price,matching_trained_predictor_artifact,retrospective_score_status,projected_pool_effect,status,reason
stage3:ADMA:42437a3ee595,ADMA,9.19,NOT_FOUND,NOT_APPLICABLE,NOT_CALCULABLE,CONFIRMED,"no ADMA range/payoff experiment directory or serialized predictor"
stage3:CRS:8695c9ce3320,CRS,579.0,NOT_FOUND,NOT_APPLICABLE,NOT_CALCULABLE,CONFIRMED,"no CRS predictor artifact; prior CRS forensics found only standard rulebook and q replay"
stage3:ALGT:aec5dd5b1dc1,ALGT,112.96,NOT_FOUND,NOT_APPLICABLE,NOT_CALCULABLE,CONFIRMED,"no ALGT artifact"
stage3:AEIS:6e26f08a7c6d,AEIS,308.64,NOT_FOUND,NOT_APPLICABLE,NOT_CALCULABLE,CONFIRMED,"no AEIS artifact"
stage3:ARKW:296c057b4ef7,ARKW,148.51,NOT_FOUND,NOT_APPLICABLE,NOT_CALCULABLE,CONFIRMED,"no ARKW artifact"
stage3:CBRL:677767a0b6a9,CBRL,50.42,NOT_FOUND,NOT_APPLICABLE,NOT_CALCULABLE,CONFIRMED,"no CBRL artifact"
stage3:BTU:ecfcb41f1be2,BTU,23.35,NOT_FOUND,NOT_APPLICABLE,NOT_CALCULABLE,CONFIRMED,"no BTU artifact"
stage3:BB:f1bdfe7f8ad9,BB,10.9494,NOT_FOUND,NOT_APPLICABLE,NOT_CALCULABLE,CONFIRMED,"no BB artifact"
stage3:BN:d264957fe5f6,BN,43.85,NOT_FOUND,NOT_APPLICABLE,NOT_CALCULABLE,CONFIRMED,"no BN artifact"
stage3:ACMR:44c1e02681c4,ACMR,104.0,NOT_FOUND,NOT_APPLICABLE,NOT_CALCULABLE,CONFIRMED,"no ACMR artifact"
CURRENT_POOL_SUMMARY,10 candidates,,0 matching artifacts,0 valid scores,"pool reduction/pass count cannot be estimated",CONFIRMED,"using FIX model cross-ticker would violate per-individual design and be methodologically invalid"
MODEL_SERIALIZATION,, ,PARTIAL,"survivor JSON exists only for some historical FIX experiments",,CONFIRMED,"no stable live artifact schema/version registry"
LIVE_INFERENCE_LOADER,, ,NOT_FOUND,,,CONFIRMED,"no engine/live or ops loader/call site for final_survivors survival_pass true_validation_pass"
FEATURE_PIPELINE_COMPATIBILITY,, ,NOT_READY,,,CONFIRMED,"current range script dynamically imports historical commit 3b24382 and forces 10-day features; payoff final audit forces 5-day features"
TARGET_SPECIFICATION,, ,UNRESOLVED,,,CONFIRMED,"exact desired horizon/target absent; surviving implementations disagree among 2% TP, coarse bins, range and ATR payoff"
PIT_REPRODUCIBILITY,, ,PARTIAL,,,CONFIRMED,"research scripts contain leakage guards and fixed periods, but deleted artifacts prevent exact model/threshold reproduction for many runs"
PORTFOLIO_AB_TEST,, ,NOT_FOUND,,,CONFIRMED,"no same-universe comparison against current score>=signal_threshold candidate pipeline"
PROSPECTIVE_SHADOW_TEST,, ,NOT_FOUND,,,CONFIRMED,"no live shadow log of predictor decisions and counterfactual returns"
AS_IS_RECONNECTION,, ,NO,,,RECOMMENDATION,"cannot attach without choosing target, retraining each covered ticker, serializing models, adding loader and validating incremental lift"
RECONNECTION_PATH,, ,REWORK_THEN_VALIDATE,,,RECOMMENDATION,"freeze exact 2-day target; train per ticker or justified pooled model; run frozen OOS plus prospective shadow before candidate-stage use"
FINAL_VERDICT,, ,REWORK_REQUIRED_VALIDATION_FIRST,,,RECOMMENDATION,"재작업필요; 검증우선"
