input_or_behavior,dry_run_source,live_runtime_source,parity,status,impact_or_required_action
candidate_id,"stage:ticker:hash12 from integrated 17,071 inventory","elite_shadow_report candidate_id",true,MATCH,"현재 report 82개 모두 v3 catalog에서 candidate_id 매칭 가능"
rulebook_hash,"원본 survivors/final_rulebooks row","central_index/source_file 또는 final_rulebooks row",true,MATCH,"동일 원본 hash 식별 가능"
full stored rulebook,"source_file+source_row_index 또는 final_rulebooks full row","collector는 full row를 읽지만 candidate payload에는 축약 rulebook만 저장; evaluate_candidate가 source에서 다시 full row 로드",partial,AVAILABLE_BEFORE_DEDUP,"primary hook에서 full row를 사용하거나 candidate_id catalog를 조회해야 함"
volume_surge_ratio,"full rulebook volume_surge_ratio","축약 candidate에는 없음; full source row에는 있음",partial,NOT_EXPOSED_IN_REPORT_PAYLOAD,"post-report 실시간 재계산보다 pre-dedup source row 또는 catalog 사용"
weight_volume_surge,"full rulebook weight_volume_surge","축약 candidate에는 없음; full source row에는 있음",partial,NOT_EXPOSED_IN_REPORT_PAYLOAD,"BOIL·v3 weightless 판정에 필요"
bb_proximity,"full rulebook bb_proximity","축약 candidate에는 없음; full source row에는 있음",partial,NOT_EXPOSED_IN_REPORT_PAYLOAD,"v3 BB 판정 재계산 시 필요"
training_window,"Stage2 origin train_start/end; Stage3 entry activity metadata","live report/evaluate_candidate에 train_start/end 없음",false,MISSING_RUNTIME,"현재 live OHLCV로 대체하면 dry-run과 다른 정책"
training_distribution,"frozen stage0 OHLCV cache에서 해당 train window p01/p99/min/max 계산","evaluate_candidate는 현재 1년 OHLCV를 yfinance로 로드",false,DIFFERENT_DATA,"정확한 parity에는 immutable precomputed distribution 또는 decision catalog 필요"
v3 decision,"threshold_p99_weightless_block_candidate_decisions.csv; 17,071개","현재 live 코드가 읽지 않음",false,NOT_WIRED,"현재 report 82/82 catalog coverage; 이 catalog를 entry collector에서 조회 가능"
BOIL decision,"high_vol_volume_blind_risk_candidates.csv + v3 PASS + abs(volume weight)<=0.05 + nonvolume entry possible","현재 live 코드가 읽지 않음",false,NOT_WIRED,"boil_block_exclusive_targets.csv 또는 통합 static catalog 필요"
HIGH_VOL classification,"frozen/reference volatility classification","live candidate payload의 기존 20260707 vol_group는 별도 93개 분석이며 BOIL dry-run 기준과 동일 보장 없음",false,DIFFERENT_ARTIFACT,"동일 BOIL catalog를 사용해야 함"
nonvolume entry possible,"시장배수 상한 구조 분석 산출물","live runtime에서 계산하지 않음",false,MISSING_RUNTIME,"룰북만으로 즉석 재구성하지 말고 검증된 catalog 사용"
completeness,"integrated dry-run origin_complete/profile eligibility","Stage2 central_index eligible; Stage3 final_rulebooks 존재를 사실상 전제",partial,DIFFERENT_CHECK,"live는 dry-run completeness를 직접 재현하지 않음"
history quality,"integrated dry-run stage별 history gate","elite_shadow_report의 OOS/stress metrics 선필터",partial,DIFFERENT_THRESHOLDS,"현재 live에 v3·BOIL만 추가해도 dry-run 84개와 동일 후보가 되지 않음"
elite filter,"integrated elite_static_pass·elite_score","live 전용 expectancy/fitness/win/trades/DD/anti-pattern",false,DIFFERENT_POLICY,"현재 report 82와 dry-run 84의 overlap은 16개뿐"
denylist,"denylist-before-ticker-dedup","build_elite_shadow_report에서 stage cap·dedup 후 denylist",false,ORDER_MISMATCH,"현재 구조는 denylist 차단 후 fallback 없음"
ticker dedup,"static gate+elite+denylist 뒤 ticker dedup","stage별 elite filter 직후 ticker dedup; denylist보다 먼저",partial,ORDER_MISMATCH,"primary static gate는 dedup 전 삽입해야 최소한 v3·BOIL fallback 보존"
stage cap,"Stage2 60; Stage3 80","Stage2 60; Stage3 80",true,NUMBER_MATCH_ONLY,"cap 숫자는 같지만 입력 pool·정렬·denylist 순서가 다름"
dynamic entry signal,"dry-run 최종 84 선정에는 현재시점 should_buy 미사용","live evaluate_candidate가 현재 OHLCV·가격·시장·뉴스로 should_buy 판정",false,INTENTIONALLY_DYNAMIC,"정적 gate 통과 후 별도 entry 단계로 유지"
current final candidate set,"boil_block_final_candidates.csv 84개=Stage2 10+Stage3 74","build_elite_shadow_report 82개=Stage2 12+Stage3 70",false,OUTPUT_DIVERGENCE,"ID overlap 16; current-only 66; dry-run-only 68"
current report post-hoc gate effect,"dry-run은 pre-dedup fallback 포함","현재 report 82개에 catalog를 뒤늦게 적용하면 v3 23+BOIL 2=25개 차단; 57개 잔존",false,POST_HOC_NOT_EQUIVALENT,"57개는 dry-run 최종 84를 재현하지 않으며 primary insertion 결과도 아님"
