priority,point_id,file,function,line_range,mode,suitability,fallback_preserved,entry_only,required_input,exit_or_holding_impact,reason
1,PRIMARY_STAGE2_PRE_DEDUP,engine/live/elite_shadow_report.py,collect_stage2_elite,382-384,"SHADOW 또는 BLOCK",RECOMMENDED,true,true,"candidate_id-keyed v3·BOIL static decision catalog 또는 full source row+immutable training distribution","실계좌 보유·청산 영향 없음; shadow 신규 entry 후보만 영향","full Stage2 source row와 candidate_id가 준비된 뒤이고 elite sort·ticker dedup·cap 전이므로 차순위 fallback 보존"
1,PRIMARY_STAGE3_PRE_DEDUP,engine/live/elite_shadow_report.py,collect_stage3_elite,472-473,"SHADOW 또는 BLOCK",RECOMMENDED,true,true,"candidate_id-keyed v3·BOIL static decision catalog 또는 full final_rulebook row+immutable training distribution","실계좌 보유·청산 영향 없음; shadow 신규 entry 후보만 영향","Stage3 candidate_id가 생성된 뒤이고 elite sort·ticker dedup·cap 전이므로 dry-run과 동일한 차순위 선택 가능"
2,COMMON_STATIC_DECISION_LOOKUP,engine/live/elite_shadow_report.py,"신규 공통 helper 호출 지점",Stage2 382-384; Stage3 472-473,"OFF|SHADOW|BLOCK",RECOMMENDED,true,true,"policy_version·source fingerprint가 포함된 immutable candidate decision catalog","PositionManager와 무관","두 collector가 동일 판정식을 사용해야 shadow와 enforcement가 동일해짐"
3,SHADOW_COMPARE_LOG,engine/live/elite_shadow_report.py,"collector skipped Counter/report summary",Stage2·Stage3 primary hook,"SHADOW",RECOMMENDED,true,true,"같은 static decision 결과","차단 없이 신규 entry 후보 차이만 기록","판정 결과·reason·candidate_id를 기록하되 continue하지 않으면 현재 라이브 후보는 변하지 않음"
4,SECONDARY_EXECUTION_RECHECK,engine/live/s2_auto_trader.py,_candidate_full_payload+_validate_candidate_signal,300-329,"BLOCK fail-closed",DEFENSE_IN_DEPTH,false,true,"동일 policy catalog와 현재 candidate_id","기존 포지션·SELL에 영향 없음","cached live_slots_state에 오래된 후보가 남아도 order plan 단계에서 재검증 가능; primary 대신 사용하면 fallback은 복원되지 않음"
5,LIVE_SLOT_OBSERVABILITY,data/_system/ops/live_candidate_slots.py,refresh_slots,381-418,"SHADOW summary only",OBSERVABILITY_ONLY,false,true,"report가 반환한 static gate summary","청산 영향 없음","last_refresh.blocked_summary와 events에 shadow 차이를 노출하기 적합하나 실제 차단 지점으로는 너무 늦음"
6,POST_REPORT_FILTER,data/_system/ops/live_candidate_slots.py,refresh_slots,381-398,"BLOCK",NOT_RECOMMENDED,false,true,"candidate decision catalog","기존 보유 포지션 영향은 없으나 후보 fallback 손실","report에서 ticker dedup·stage cap이 이미 끝났으므로 차단된 ticker의 차순위 rule을 복원할 수 없음"
7,POST_SIGNAL_FILTER,data/_system/ops/live_candidate_slots.py,refresh_slots,414-418,"BLOCK",NOT_RECOMMENDED,false,true,"candidate decision catalog","청산 영향 없음","시세·OHLCV API를 이미 사용한 뒤라 정적 gate의 비용절감과 후보 fallback을 모두 잃음"
8,EXIT_PATH,engine/live/position_manager.py,check_exits+_check_one,620-790,"어떤 모드도 금지",PROHIBITED,not_applicable,false,"해당 없음","보유 포지션 청산 authority를 변경할 위험","v3·BOIL은 신규 진입 적격성 gate이며 immutable position snapshot 기반 exit와 섞으면 안 됨"
9,SHADOW_OPEN_POSITION_LOOP,engine/live/elite_shadow_trader.py,run_shadow_tick,757-770,"어떤 정적 entry BLOCK도 적용 금지",PROHIBITED,not_applicable,false,"해당 없음","기존 shadow position MTM·청산에 소급 영향 가능","static gate는 이후 신규 entry loop 792-853의 candidate source에만 적용해야 함"
