item,pilot_floored_lambda0,official_stage2_AAP,official_stage2_POWI,comparability_note
model_path,14-feature grouped interval pilot,official rulebook Stage2,official rulebook Stage2,different model and target semantics
market_context_connection,NO,YES,YES,Phase1 D-1 lookup PASS
market_gene_active,N/A,YES: 93/300 rulebooks; 2877/7430 trades adjusted,YES: 196/300 rulebooks; 3521/5306 trades adjusted,active means switch on plus nonzero strength and at least one nonzero weight
stress_generalization_primary,43.26% average binary precision,48.61% mean trade win_rate; gate 3/300 (1%),53.72% mean trade win_rate; gate 27/300 (9%),binary precision and trade win_rate are not the same metric
next_generalization_gate,N/A,train_3 reached 3 passed 0,train_3 reached 27 passed 15; train_2 reached 15 passed 0,official early-cut chain
OOS_precision,58.06% pooled selected binary precision,N/A: 0 candidates reached OOS,N/A: 0 candidates reached OOS,do not convert no reach to zero precision
OOS_coverage,18.45% selected binary coverage,N/A: 0 candidates reached OOS,N/A: 0 candidates reached OOS,official Stage2 has candidate reach and trade counts rather than binary coverage
OOS_reached_candidates,6 selected pilot candidates,0/300,0/300,official candidates were cut before OOS
survivor_count,0,0,0,directly comparable count only at coarse level
market_adjustment_trade_share,N/A,38.7214%,66.3588%,entry_market_adjustment different from 1
verdict_baseline,information ceiling suspected,MARKET_NEUTRAL,MARKET_NEUTRAL,market was used but did not produce OOS evidence or survivors
