field,storage_gate,status,sample_n,tickers,pooled_corr_with_2d_close_return,base_2d_plus3pct_rate,positive_field_2d_plus3pct_rate,lift,positive_corr_tickers,positive_lift_tickers,historical_range,sign_instability,evidence_window,notes
sentiment_avg,PARTIAL,UNRELIABLE,1440,10,0.0611,0.2771,0.2838,0.0067,8/10,7/10,-0.9482~+0.9228,HIGH,"stored sentiment dates intersected with OHLC snapshots through 2026-07-07","전체 lift +0.67%p로 미미하고 ADMA/ACMR은 음의 상관·음의 lift; 후보별 최신성도 불균일. 원천 저장은 있으나 live 후보 스냅샷 미보존이므로 예외 보장 실패"
sent_earnings,PARTIAL,INSUFFICIENT_DATA,1440,10,0.0426,0.2771,0.3063,0.0292,8/10,8/10,-0.9466~+0.9228,HIGH,"stored sentiment dates intersected with OHLC snapshots through 2026-07-07","양의 lift는 있으나 0이 결측/중립을 혼합하고 토픽 기사 희소성·후보 스냅샷 미보존 때문에 신뢰·보장 기준 미충족"
ticker_sentiment_score,NOT_STORED,INSUFFICIENT_DATA,0,0,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,UNKNOWN,NOT_STORED,"기사 단위 원천값을 후보 단위 시계열로 복구 불가"
news_sentiment_avg,PARTIAL,UNRELIABLE,0,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.0,NONE,"current live constructor","현재 경로에서 상수 0.0이므로 예측 신호 없음"
event_adjustment,PARTIAL,UNRELIABLE,NOT_RETESTED,NOT_RETESTED,NOT_RETESTED,NOT_RETESTED,NOT_RETESTED,NOT_RETESTED,NOT_RETESTED,NOT_RETESTED,-1.69~+4.38,HIGH,"stored market event history","Event 축 OFF 및 부호 대폭 반전 배경; 복수 이벤트 합산값이라 저장 여부와 무관하게 예외 부적격"
score_with_events,PARTIAL,UNRELIABLE,NOT_RETESTED,NOT_RETESTED,NOT_RETESTED,NOT_RETESTED,NOT_RETESTED,NOT_RETESTED,NOT_RETESTED,NOT_RETESTED,0~100,COMPOSITE,"stored market history","시장 score+Event 합산 결과"
topic_news,NOT_STORED,INSUFFICIENT_DATA,0,0,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,UNKNOWN,UNRECOVERABLE,"계산 중 합산 component이며 과거 후보별 값 미저장"
final_score,STORED,NOT_APPLICABLE,NOT_APPLICABLE,10,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPOSITE,COMPOSITE,"current live candidate snapshots","신뢰도와 무관하게 합산 금지 대상 그 자체"
flow,NOT_STORED,INSUFFICIENT_DATA,0,0,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,UNKNOWN,NOT_STORED,"필드 정의 없음"
order_book,NOT_STORED,INSUFFICIENT_DATA,0,0,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,UNKNOWN,NOT_STORED,"필드 정의 없음"
catalyst_surprise_guidance_upgrade,NOT_STORED,INSUFFICIENT_DATA,0,0,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,NOT_STORED,UNKNOWN,NOT_STORED,"라이브 단일 점수 필드 없음"
