item_id,name,path_or_object,first_commit,first_commit_time_utc,GA,per_entity_threshold_or_cut,five_day_input,two_day_target,three_pct_target,start_2020_or_earlier,rulebook_signal_prefilter,validation,exact_spec_match,status,notes
D-001,Exact 5d to 2d +3pct GA selector,NOT_FOUND,NOT_FOUND,,false,false,false,false,false,false,false,false,false,GENUINELY_NOT_FOUND,"All refs, reflog, unreachable Git blobs, current/ignored files, experiment directories, cleanup manifests, and 29 backup tar files searched"
D-002,Stage2 five-day path filter,scripts/research/run_stage2_path_filter.py,85e0d2d0a2a7492612c8c512f69c5a406a9aca48,2026-07-04T03:53:51Z,true,true,true,false,false,partial,true,true,false,FOUND_RESEARCH_ONLY,"Closest rulebook-signal prefilter: D-5..D-1 GA genes per Rulebook; fitness is mean trade pnl_pct/holding_days, not 2d +3pct hit"
D-003,Stage2 five-day path filter hold3,scripts/research/run_stage2_path_filter_hold3.py,92b99ae3cee96645d7900724aa41c74bc1443ca1,2026-07-04T05:40:50Z,true,true,true,false,false,partial,true,true,false,FOUND_RESEARCH_ONLY,"Number 3 means max_holding_days<=3, not +3pct; target remains daily-return fitness"
D-004,Five-day range predictor historical version,"3048579f792f0d3d213034c6956f33973cc8130b:scripts/research/run_range_predictor_stage2_v3.py",3048579f792f0d3d213034c6956f33973cc8130b,2026-07-04T12:05:21Z,true,true,true,false,false,true,partial,true,false,FOUND_RESEARCH_ONLY,"Per-individual rules/quantile bands using Stage2 and stock lag1..5 features; target is next-day high/low range bins"
D-005,Next-day two-percent HIGH event predictor,"33605eb80b6a1f25c09aacd2813b4da348f91b8b:scripts/research/run_range_predictor_stage2_v3.py",33605eb80b6a1f25c09aacd2813b4da348f91b8b,2026-07-04T14:22:39Z,true,true,true,false,false,true,partial,true,false,FOUND_RESEARCH_ONLY,"Closest fixed-return predictor: prior five-day features but next-day +2pct, not two-day +3pct"
D-006,Dense feature-weight HIGH-only predictor,scripts/research/run_range_predictor_stage2_v3.py,3b243825aade738d67427dd9e9f144c297ecd026,2026-07-05T13:15:29Z,true,true,originally_true_current_10d,false,false,true,partial,true,false,FOUND_RESEARCH_ONLY,"Learns dense per-individual feature weights and cut1/cut2; current target next-day coarse3; current lookback forced to 10"
D-007,Two-gene payoff detector,scripts/research/run_payoff_two_gene_ga.py,c89322505c0614cd640f059d74f3ede166d75781,2026-07-05T15:39:24Z,true,true,depends_on_dataset_variant,false,false,true,partial,true,false,FOUND_RESEARCH_ONLY,"UP/LOW quantile intervals and individual cuts; target next_high_atr/next_low_atr for next day; 0.03 in mutation is minimum quantile width"
D-008,Five-day payoff final audit,scripts/research/run_payoff_two_gene_fullfeature_stage2_rolling_ga_5d_separate_highlow_soft_nod0_finalaudit_target.py,e22a445e94931838f98288f517ab3665ae1e8cd9,2026-07-06T04:25:52Z,true,true,true,false,false,true,partial,true,false,FOUND_RESEARCH_ONLY,"Five lag days and stress/OOS audit; target next-day ATR reward/risk; final pass rows deleted or NOT_STORED"
D-009,S3 target three-percent exit,data/_system/analysis/exit_variants_20260707/run_exit_variants.py,NOT_FOUND_UNTRACKED_ARTIFACT,2026-07-07T17:48:58.629104Z,false,false,false,partial,true,false,false,true,false,FOUND_RESEARCH_ONLY,"Post-entry exit replay: +2pct trigger in entry/next bar, then +3pct until S2 exit; not predictive selector"
D-010,Pipeline Rulebook signal_threshold,engine/strategies/rulebook.py,MULTIPLE,,true,true,false,false,false,true,true,true,false,FOUND_CONNECTED_DIFFERENT_LOGIC,"Each rulebook has its own GA threshold but it gates current composite score, not a forward 2d +3pct probability"
D-011,True3/coarse3 experiment names,exp_fix_range_predictor_stage2_v3_true3_stage2gate_fixed_20260705_001,77c5213f3230134848227748ce4df77c795da340,2026-07-05T03:02:36Z,true,true,yes_or_derived,false,false,true,partial,true,false,FALSE_POSITIVE,"true3 means three coarse output bins, not +3pct return target"
D-012,All Git object database search,"2229 text blobs <=8MB including unreachable",a7bd8a868375a04c75c14f138d7585e8aa6acab7,2026-07-12T08:15:17Z,true,true,true,true,true,true,true,true,false,SEARCH_COVERAGE,"Only prior forensic reports matched all anchor tokens; no source implementation blob matched exact semantics"
D-013,All branch and reflog search,"848 ref-reachable commits + 12 reflog-only commits",,,true,true,true,true,true,true,true,true,false,SEARCH_COVERAGE,"Reflog-only commits were June Stage2.5/period work; none implemented exact selector"
D-014,Backup archive search,backup/*.tar.gz,,,true,true,true,true,true,true,true,true,false,SEARCH_COVERAGE,"29 tar.gz archives searched; only known path/range/payoff sources and prior reports found"
D-015,Operational cleanup audit,data/_system/analysis/candidate_selection_audit_20260710/operational_unused_second_pass.csv,,2026-07-10T14:26:48.803671Z,true,true,true,false,false,true,false,true,false,SEARCH_COVERAGE,"Range/payoff artifacts classified TERMINATED_EXPERIMENT_DATA; path-filter scripts active_reference_count=0; no 2day/3pct-named artifact"
